04-18-2026 15:11:45 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@57.562C soc2@56.875C soc0@55.656C gpu@57.343C tj@57.562C soc1@56.687C VDD_IN 8001mW/7945mW VDD_CPU_GPU_CV 2698mW/2665mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:46 RAM 5162/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 67% cpu@57.781C soc2@56.906C soc0@55.687C gpu@57.437C tj@57.781C soc1@56.687C VDD_IN 7921mW/7944mW VDD_CPU_GPU_CV 2698mW/2666mW VDD_SOC 1791mW/1785mW
04-18-2026 15:11:46 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [1%@1510,2%@729,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 81% cpu@57.906C soc2@56.875C soc0@55.75C gpu@57.593C tj@57.906C soc1@56.75C VDD_IN 7921mW/7944mW VDD_CPU_GPU_CV 2737mW/2668mW VDD_SOC 1791mW/1785mW
04-18-2026 15:11:47 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,3%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@57.718C soc2@57.031C soc0@55.718C gpu@57.406C tj@57.718C soc1@56.687C VDD_IN 8001mW/7945mW VDD_CPU_GPU_CV 2737mW/2670mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:47 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [1%@1510,0%@914,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 69% cpu@57.718C soc2@57C soc0@55.75C gpu@57.562C tj@57.718C soc1@56.656C VDD_IN 8001mW/7946mW VDD_CPU_GPU_CV 2698mW/2670mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:48 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 77% cpu@57.75C soc2@56.937C soc0@55.75C gpu@57.343C tj@57.75C soc1@56.687C VDD_IN 7961mW/7947mW VDD_CPU_GPU_CV 2698mW/2671mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:48 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [3%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@57.687C soc2@56.968C soc0@55.843C gpu@57.406C tj@57.687C soc1@56.687C VDD_IN 8001mW/7948mW VDD_CPU_GPU_CV 2698mW/2672mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:49 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@57.625C soc2@57C soc0@55.968C gpu@57.312C tj@57.625C soc1@56.625C VDD_IN 8001mW/7949mW VDD_CPU_GPU_CV 2658mW/2671mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:49 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [3%@1510,3%@1510,1%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 77% cpu@57.781C soc2@57C soc0@56.062C gpu@57.531C tj@57.781C soc1@56.718C VDD_IN 8001mW/7950mW VDD_CPU_GPU_CV 2698mW/2672mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:50 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 81% cpu@57.718C soc2@57C soc0@55.843C gpu@57.718C tj@57.718C soc1@56.656C VDD_IN 8001mW/7951mW VDD_CPU_GPU_CV 2698mW/2672mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:50 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [2%@1510,1%@1510,2%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 54% cpu@57.625C soc2@56.968C soc0@55.906C gpu@57.343C tj@57.625C soc1@56.531C VDD_IN 8001mW/7952mW VDD_CPU_GPU_CV 2698mW/2673mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:51 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@57.812C soc2@57C soc0@55.843C gpu@57.5C tj@57.812C soc1@56.656C VDD_IN 7961mW/7952mW VDD_CPU_GPU_CV 2698mW/2673mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:51 RAM 5163/7620MB (lfb 26x4MB) SWAP 3731/3810MB (cached 117MB) CPU [3%@1510,3%@729,0%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@57.656C soc2@57.031C soc0@55.906C gpu@57.531C tj@57.656C soc1@56.687C VDD_IN 8001mW/7953mW VDD_CPU_GPU_CV 2658mW/2673mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:52 RAM 5163/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [1%@1510,0%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 77% cpu@57.75C soc2@57.031C soc0@55.875C gpu@57.343C tj@57.75C soc1@56.656C VDD_IN 8001mW/7954mW VDD_CPU_GPU_CV 2658mW/2673mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:52 RAM 5163/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [2%@1510,1%@729,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@57.812C soc2@56.968C soc0@55.812C gpu@57.437C tj@57.812C soc1@56.593C VDD_IN 8001mW/7955mW VDD_CPU_GPU_CV 2698mW/2673mW VDD_SOC 1788mW/1785mW
04-18-2026 15:11:53 RAM 5163/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@57.625C soc2@57.062C soc0@55.812C gpu@57.687C tj@57.687C soc1@56.625C VDD_IN 8001mW/7956mW VDD_CPU_GPU_CV 2698mW/2674mW VDD_SOC 1788mW/1786mW
04-18-2026 15:11:53 RAM 5163/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@57.781C soc2@56.937C soc0@55.937C gpu@57.343C tj@57.781C soc1@56.906C VDD_IN 8001mW/7957mW VDD_CPU_GPU_CV 2658mW/2673mW VDD_SOC 1788mW/1786mW
04-18-2026 15:11:54 RAM 5164/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [3%@1510,0%@1510,5%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@57.625C soc2@56.875C soc0@55.875C gpu@57.375C tj@57.625C soc1@56.937C VDD_IN 8001mW/7958mW VDD_CPU_GPU_CV 2658mW/2673mW VDD_SOC 1788mW/1786mW
04-18-2026 15:11:54 RAM 5164/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@914,5%@729,1%@1510,100%@1510] GR3D_FREQ 66% cpu@58.031C soc2@57.031C soc0@55.875C gpu@57.468C tj@58.031C soc1@56.968C VDD_IN 8001mW/7958mW VDD_CPU_GPU_CV 2698mW/2674mW VDD_SOC 1788mW/1786mW
04-18-2026 15:11:55 RAM 5164/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [0%@1510,0%@729,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 81% cpu@57.656C soc2@56.968C soc0@55.843C gpu@57.562C tj@57.656C soc1@56.843C VDD_IN 8001mW/7959mW VDD_CPU_GPU_CV 2698mW/2674mW VDD_SOC 1788mW/1786mW
04-18-2026 15:11:55 RAM 5164/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [5%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 54% cpu@57.75C soc2@56.937C soc0@55.875C gpu@57.812C tj@57.812C soc1@56.875C VDD_IN 8041mW/7961mW VDD_CPU_GPU_CV 2698mW/2674mW VDD_SOC 1788mW/1786mW
04-18-2026 15:11:56 RAM 5164/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 69% cpu@57.937C soc2@56.968C soc0@55.812C gpu@57.312C tj@57.937C soc1@56.75C VDD_IN 7961mW/7961mW VDD_CPU_GPU_CV 2698mW/2675mW VDD_SOC 1791mW/1786mW
04-18-2026 15:11:56 RAM 5164/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [2%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 63% cpu@58.125C soc2@56.937C soc0@55.75C gpu@57.625C tj@58.125C soc1@56.75C VDD_IN 8001mW/7961mW VDD_CPU_GPU_CV 2658mW/2674mW VDD_SOC 1788mW/1786mW
04-18-2026 15:11:57 RAM 5164/7620MB (lfb 26x4MB) SWAP 3730/3810MB (cached 117MB) CPU [3%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 81% cpu@57.843C soc2@56.875C soc0@55.75C gpu@57.375C tj@57.625C soc1@56.843C VDD_IN 8001mW/7962mW VDD_CPU_GPU_CV 2698mW/2675mW VDD_SOC 1788mW/1786mW
