04-18-2026 14:29:22 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 63% cpu@57.406C soc2@56.843C soc0@55.531C gpu@57.375C tj@57.406C soc1@56.5C VDD_IN 8001mW/7952mW VDD_CPU_GPU_CV 2618mW/2588mW VDD_SOC 1828mW/1821mW
04-18-2026 14:29:23 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [3%@1206,1%@1287,3%@1510,3%@1510,52%@729,0%@729] GR3D_FREQ 59% cpu@57.25C soc2@56.781C soc0@55.531C gpu@57.531C tj@57.531C soc1@56.531C VDD_IN 8001mW/7953mW VDD_CPU_GPU_CV 2618mW/2588mW VDD_SOC 1828mW/1821mW
04-18-2026 14:29:23 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,28%@729,24%@729] GR3D_FREQ 72% cpu@57.25C soc2@56.718C soc0@55.656C gpu@57.406C tj@57.718C soc1@56.406C VDD_IN 8041mW/7954mW VDD_CPU_GPU_CV 2658mW/2590mW VDD_SOC 1828mW/1821mW
04-18-2026 14:29:24 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,0%@729,55%@729] GR3D_FREQ 58% cpu@57.093C soc2@56.812C soc0@55.625C gpu@57.437C tj@57.437C soc1@56.406C VDD_IN 8001mW/7955mW VDD_CPU_GPU_CV 2618mW/2590mW VDD_SOC 1828mW/1821mW
04-18-2026 14:29:24 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@729,52%@729] GR3D_FREQ 58% cpu@57.218C soc2@56.75C soc0@55.625C gpu@57.656C tj@57.656C soc1@56.312C VDD_IN 8041mW/7957mW VDD_CPU_GPU_CV 2658mW/2591mW VDD_SOC 1828mW/1822mW
04-18-2026 14:29:25 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,1%@1510,3%@1510,2%@1510,1%@729,52%@729] GR3D_FREQ 59% cpu@57.187C soc2@56.718C soc0@55.593C gpu@57.312C tj@57.312C soc1@56.406C VDD_IN 8041mW/7958mW VDD_CPU_GPU_CV 2658mW/2592mW VDD_SOC 1828mW/1822mW
04-18-2026 14:29:26 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,10%@729,44%@729] GR3D_FREQ 59% cpu@57.187C soc2@56.718C soc0@55.593C gpu@57.562C tj@57.562C soc1@56.562C VDD_IN 8001mW/7959mW VDD_CPU_GPU_CV 2618mW/2593mW VDD_SOC 1828mW/1822mW
04-18-2026 14:29:26 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [2%@1510,1%@1510,0%@1510,1%@1510,52%@729,0%@729] GR3D_FREQ 60% cpu@57.437C soc2@56.656C soc0@55.625C gpu@57.187C tj@57.437C soc1@56.5C VDD_IN 8001mW/7960mW VDD_CPU_GPU_CV 2618mW/2593mW VDD_SOC 1828mW/1822mW
04-18-2026 14:29:27 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,52%@729,0%@729] GR3D_FREQ 59% cpu@57.593C soc2@56.625C soc0@55.625C gpu@57.531C tj@57.593C soc1@56.593C VDD_IN 8001mW/7961mW VDD_CPU_GPU_CV 2658mW/2594mW VDD_SOC 1828mW/1822mW
04-18-2026 14:29:27 RAM 5872/7620MB (lfb 22x4MB) SWAP 2687/3810MB (cached 9MB) CPU [3%@1510,1%@1510,0%@1510,3%@1510,54%@729,0%@729] GR3D_FREQ 58% cpu@57.343C soc2@56.843C soc0@55.531C gpu@57.218C tj@57.343C soc1@56.5C VDD_IN 8001mW/7961mW VDD_CPU_GPU_CV 2618mW/2595mW VDD_SOC 1828mW/1822mW
