04-18-2026 17:39:33 RAM 5737/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@59.125C soc2@58.5C soc0@57.062C gpu@59.031C tj@59.125C soc1@57.937C VDD_IN 9007mW/8954mW VDD_CPU_GPU_CV 3361mW/3355mW VDD_SOC 1941mW/1926mW
04-18-2026 17:39:34 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,1%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 73% cpu@59.218C soc2@58.437C soc0@57.125C gpu@59.156C tj@59.218C soc1@58.031C VDD_IN 9086mW/8957mW VDD_CPU_GPU_CV 3401mW/3357mW VDD_SOC 1941mW/1926mW
04-18-2026 17:39:34 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@59.375C soc2@58.375C soc0@57.187C gpu@59.343C tj@59.375C soc1@57.937C VDD_IN 9086mW/8960mW VDD_CPU_GPU_CV 3480mW/3360mW VDD_SOC 1941mW/1927mW
04-18-2026 17:39:35 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,2%@729,3%@1510,100%@1510] GR3D_FREQ 62% cpu@59.218C soc2@58.468C soc0@57.093C gpu@58.968C tj@59.218C soc1@58.062C VDD_IN 9086mW/8963mW VDD_CPU_GPU_CV 3480mW/3362mW VDD_SOC 1941mW/1927mW
04-18-2026 17:39:35 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@59.218C soc2@58.468C soc0@57.187C gpu@59.093C tj@59.218C soc1@58C VDD_IN 8967mW/8964mW VDD_CPU_GPU_CV 3401mW/3363mW VDD_SOC 1901mW/1926mW
04-18-2026 17:39:36 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,3%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 63% cpu@59.218C soc2@58.562C soc0@57.218C gpu@59.062C tj@59.218C soc1@58C VDD_IN 8967mW/8964mW VDD_CPU_GPU_CV 3401mW/3364mW VDD_SOC 1901mW/1926mW
04-18-2026 17:39:37 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 63% cpu@59.093C soc2@58.468C soc0@57.218C gpu@59.25C tj@59.25C soc1@57.937C VDD_IN 9047mW/8965mW VDD_CPU_GPU_CV 3441mW/3366mW VDD_SOC 1941mW/1926mW
04-18-2026 17:39:37 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@59.187C soc2@58.5C soc0@57.187C gpu@59.437C tj@59.437C soc1@57.968C VDD_IN 9126mW/8969mW VDD_CPU_GPU_CV 3441mW/3367mW VDD_SOC 1941mW/1926mW
04-18-2026 17:39:38 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@59.125C soc2@58.468C soc0@57.281C gpu@59.281C tj@59.281C soc1@57.968C VDD_IN 9047mW/8971mW VDD_CPU_GPU_CV 3401mW/3368mW VDD_SOC 1901mW/1926mW
04-18-2026 17:39:38 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.187C soc2@58.468C soc0@57.218C gpu@59.375C tj@59.375C soc1@57.937C VDD_IN 9007mW/8971mW VDD_CPU_GPU_CV 3441mW/3370mW VDD_SOC 1901mW/1925mW
04-18-2026 17:39:39 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.156C soc2@58.437C soc0@57.25C gpu@59.093C tj@59.156C soc1@57.937C VDD_IN 9007mW/8972mW VDD_CPU_GPU_CV 3441mW/3371mW VDD_SOC 1944mW/1926mW
04-18-2026 17:39:39 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [2%@1510,1%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 59% cpu@59.125C soc2@58.406C soc0@57.312C gpu@59.156C tj@59.156C soc1@57.937C VDD_IN 9047mW/8974mW VDD_CPU_GPU_CV 3480mW/3373mW VDD_SOC 1941mW/1926mW
04-18-2026 17:39:40 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 52% cpu@59.031C soc2@58.468C soc0@57.25C gpu@58.968C tj@59.031C soc1@58C VDD_IN 9007mW/8974mW VDD_CPU_GPU_CV 3441mW/3375mW VDD_SOC 1941mW/1926mW
04-18-2026 17:39:40 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [3%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 53% cpu@59.281C soc2@58.375C soc0@57.25C gpu@59.093C tj@59.125C soc1@58.218C VDD_IN 8967mW/8974mW VDD_CPU_GPU_CV 3401mW/3375mW VDD_SOC 1904mW/1926mW
04-18-2026 17:39:41 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,1%@1510,100%@1510] GR3D_FREQ 55% cpu@59.437C soc2@58.343C soc0@57.312C gpu@59.156C tj@59.437C soc1@58.25C VDD_IN 9007mW/8975mW VDD_CPU_GPU_CV 3441mW/3376mW VDD_SOC 1901mW/1925mW
04-18-2026 17:39:41 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,3%@729,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 63% cpu@59.187C soc2@58.406C soc0@57.218C gpu@59.406C tj@59.406C soc1@58.093C VDD_IN 9126mW/8977mW VDD_CPU_GPU_CV 3441mW/3377mW VDD_SOC 1941mW/1926mW
04-18-2026 17:39:42 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@1510,4%@1510,1%@1510,100%@1510] GR3D_FREQ 56% cpu@59.218C soc2@58.406C soc0@57.187C gpu@59.562C tj@59.562C soc1@58.031C VDD_IN 9047mW/8979mW VDD_CPU_GPU_CV 3441mW/3379mW VDD_SOC 1901mW/1925mW
04-18-2026 17:39:42 RAM 5736/7620MB (lfb 2x4MB) SWAP 3791/3810MB (cached 117MB) CPU [2%@1510,3%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 67% cpu@59.312C soc2@58.5C soc0@57.187C gpu@59.281C tj@59.312C soc1@58.062C VDD_IN 9007mW/8979mW VDD_CPU_GPU_CV 3401mW/3379mW VDD_SOC 1901mW/1925mW
04-18-2026 17:39:43 RAM 5736/7620MB (lfb 2x4MB) SWAP 3791/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@59.218C soc2@58.562C soc0@57.218C gpu@59.468C tj@59.468C soc1@58.031C VDD_IN 9047mW/8980mW VDD_CPU_GPU_CV 3401mW/3379mW VDD_SOC 1901mW/1924mW
04-18-2026 17:39:43 RAM 5737/7620MB (lfb 2x4MB) SWAP 3791/3810MB (cached 117MB) CPU [1%@1510,1%@1510,5%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 59% cpu@59.218C soc2@58.5C soc0@57.156C gpu@59.125C tj@59.218C soc1@58.062C VDD_IN 9047mW/8981mW VDD_CPU_GPU_CV 3401mW/3380mW VDD_SOC 1941mW/1925mW
04-18-2026 17:39:44 RAM 5737/7620MB (lfb 2x4MB) SWAP 3791/3810MB (cached 117MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.25C soc2@58.5C soc0@57.312C gpu@59.218C tj@59.25C soc1@57.968C VDD_IN 9166mW/8985mW VDD_CPU_GPU_CV 3441mW/3381mW VDD_SOC 1941mW/1925mW
