04-18-2026 17:37:27 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,1%@1510,1%@729,5%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@59.031C soc2@58.406C soc0@57.187C gpu@59.031C tj@59.031C soc1@58.156C VDD_IN 9047mW/8981mW VDD_CPU_GPU_CV 3480mW/3383mW VDD_SOC 1941mW/1924mW
04-18-2026 17:37:27 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 55% cpu@59.406C soc2@58.343C soc0@57.218C gpu@58.968C tj@59.406C soc1@58.125C VDD_IN 9007mW/8982mW VDD_CPU_GPU_CV 3361mW/3383mW VDD_SOC 1941mW/1924mW
04-18-2026 17:37:28 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.093C soc2@58.375C soc0@57.187C gpu@59.187C tj@59.187C soc1@58.125C VDD_IN 8967mW/8981mW VDD_CPU_GPU_CV 3401mW/3383mW VDD_SOC 1901mW/1924mW
04-18-2026 17:37:28 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 62% cpu@59.125C soc2@58.437C soc0@57.125C gpu@59.062C tj@59.125C soc1@58.031C VDD_IN 9007mW/8982mW VDD_CPU_GPU_CV 3401mW/3383mW VDD_SOC 1941mW/1924mW
04-18-2026 17:37:29 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,2%@1510,0%@729,3%@1510,100%@1510] GR3D_FREQ 60% cpu@59.343C soc2@58.343C soc0@57.093C gpu@59.25C tj@59.343C soc1@58.062C VDD_IN 9086mW/8984mW VDD_CPU_GPU_CV 3480mW/3385mW VDD_SOC 1941mW/1924mW
04-18-2026 17:37:29 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@59.156C soc2@58.5C soc0@57.156C gpu@59.437C tj@59.437C soc1@58C VDD_IN 9047mW/8985mW VDD_CPU_GPU_CV 3441mW/3386mW VDD_SOC 1941mW/1925mW
04-18-2026 17:37:30 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@729,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 59% cpu@59.218C soc2@58.437C soc0@57.218C gpu@59.218C tj@59.218C soc1@57.937C VDD_IN 8967mW/8985mW VDD_CPU_GPU_CV 3401mW/3387mW VDD_SOC 1904mW/1924mW
04-18-2026 17:37:30 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@729,0%@960,0%@960,1%@1510,100%@1510] GR3D_FREQ 70% cpu@59.218C soc2@58.468C soc0@57.125C gpu@59.312C tj@59.312C soc1@57.937C VDD_IN 9007mW/8985mW VDD_CPU_GPU_CV 3401mW/3387mW VDD_SOC 1941mW/1925mW
04-18-2026 17:37:31 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [0%@1510,0%@1510,1%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.187C soc2@58.5C soc0@57.312C gpu@59C tj@59.187C soc1@57.937C VDD_IN 9086mW/8987mW VDD_CPU_GPU_CV 3480mW/3389mW VDD_SOC 1941mW/1925mW
04-18-2026 17:37:32 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 57% cpu@59.093C soc2@58.375C soc0@57.312C gpu@59.093C tj@59.093C soc1@57.968C VDD_IN 9047mW/8988mW VDD_CPU_GPU_CV 3441mW/3390mW VDD_SOC 1941mW/1925mW
04-18-2026 17:37:32 RAM 5736/7620MB (lfb 2x4MB) SWAP 3792/3810MB (cached 117MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,3%@1510,100%@1510] GR3D_FREQ 59% cpu@59.062C soc2@58.406C soc0@57.281C gpu@58.968C tj@59.156C soc1@57.937C VDD_IN 9047mW/8989mW VDD_CPU_GPU_CV 3401mW/3390mW VDD_SOC 1941mW/1925mW
