04-18-2026 18:13:16 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,1%@729,5%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 54% cpu@59.843C soc2@58.968C soc0@57.718C gpu@59.875C tj@59.875C soc1@58.437C VDD_IN 9785mW/9617mW VDD_CPU_GPU_CV 3705mW/3654mW VDD_SOC 2096mW/2061mW
04-18-2026 18:13:16 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 69% cpu@59.625C soc2@58.968C soc0@57.656C gpu@59.937C tj@59.937C soc1@58.531C VDD_IN 9666mW/9618mW VDD_CPU_GPU_CV 3705mW/3655mW VDD_SOC 2056mW/2061mW
04-18-2026 18:13:17 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 94% cpu@59.718C soc2@58.937C soc0@57.781C gpu@59.812C tj@59.812C soc1@58.531C VDD_IN 9666mW/9618mW VDD_CPU_GPU_CV 3672mW/3656mW VDD_SOC 2056mW/2061mW
04-18-2026 18:13:17 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 67% cpu@59.875C soc2@58.968C soc0@57.687C gpu@59.843C tj@59.875C soc1@58.5C VDD_IN 9626mW/9618mW VDD_CPU_GPU_CV 3672mW/3656mW VDD_SOC 2056mW/2061mW
04-18-2026 18:13:18 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,1%@729,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 61% cpu@59.968C soc2@58.937C soc0@57.687C gpu@59.5C tj@59.968C soc1@58.437C VDD_IN 9547mW/9617mW VDD_CPU_GPU_CV 3672mW/3656mW VDD_SOC 2056mW/2060mW
04-18-2026 18:13:18 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,3%@911,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 61% cpu@59.562C soc2@58.968C soc0@57.687C gpu@59.687C tj@59.687C soc1@58.531C VDD_IN 9626mW/9617mW VDD_CPU_GPU_CV 3666mW/3656mW VDD_SOC 2096mW/2061mW
04-18-2026 18:13:19 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 93% cpu@59.781C soc2@58.968C soc0@57.75C gpu@59.718C tj@59.781C soc1@58.5C VDD_IN 9666mW/9618mW VDD_CPU_GPU_CV 3627mW/3656mW VDD_SOC 2056mW/2061mW
04-18-2026 18:13:19 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,2%@1510,1%@1510,2%@1510,0%@1510,100%@1510] GR3D_FREQ 66% cpu@59.843C soc2@59.093C soc0@57.718C gpu@59.937C tj@59.937C soc1@58.562C VDD_IN 9626mW/9618mW VDD_CPU_GPU_CV 3711mW/3657mW VDD_SOC 2056mW/2061mW
04-18-2026 18:13:20 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 56% cpu@59.75C soc2@59.031C soc0@57.75C gpu@60.125C tj@60.125C soc1@58.531C VDD_IN 9626mW/9618mW VDD_CPU_GPU_CV 3711mW/3657mW VDD_SOC 2056mW/2061mW
04-18-2026 18:13:20 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [0%@1510,0%@1510,3%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 84% cpu@59.75C soc2@59.093C soc0@57.687C gpu@59.718C tj@59.75C soc1@58.437C VDD_IN 9690mW/9620mW VDD_CPU_GPU_CV 3751mW/3659mW VDD_SOC 2096mW/2061mW
04-18-2026 18:13:21 RAM 5476/7620MB (lfb 9x4MB) SWAP 3284/3810MB (cached 18MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 59% cpu@59.875C soc2@59.093C soc0@57.718C gpu@60.062C tj@60.062C soc1@58.531C VDD_IN 9666mW/9620mW VDD_CPU_GPU_CV 3751mW/3660mW VDD_SOC 2056mW/2061mW
