04-18-2026 13:21:30 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@1510,0%@1510,64%@729,0%@729] GR3D_FREQ 67% cpu@55.687C soc2@54.937C soc0@53.781C gpu@55.031C tj@55.687C soc1@54.843C VDD_IN 6440mW/6371mW VDD_CPU_GPU_CV 1517mW/1492mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:30 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,0%@729,0%@729,0%@729,65%@729,1%@729] GR3D_FREQ 60% cpu@55.5C soc2@54.937C soc0@53.937C gpu@55.406C tj@55.5C soc1@54.781C VDD_IN 6400mW/6371mW VDD_CPU_GPU_CV 1477mW/1492mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:31 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [2%@1510,3%@1510,2%@1510,1%@1510,64%@729,0%@729] GR3D_FREQ 74% cpu@55.5C soc2@54.906C soc0@54C gpu@55.062C tj@55.5C soc1@54.812C VDD_IN 6410mW/6372mW VDD_CPU_GPU_CV 1477mW/1491mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:31 RAM 4644/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,64%@729,0%@729] GR3D_FREQ 70% cpu@55.5C soc2@54.843C soc0@54C gpu@54.968C tj@55.5C soc1@54.812C VDD_IN 6400mW/6373mW VDD_CPU_GPU_CV 1517mW/1492mW VDD_SOC 1640mW/1636mW
04-18-2026 13:21:32 RAM 4644/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [5%@1510,0%@1510,0%@729,1%@729,64%@729,0%@729] GR3D_FREQ 68% cpu@55.406C soc2@54.843C soc0@54C gpu@55.156C tj@55.406C soc1@54.687C VDD_IN 6400mW/6374mW VDD_CPU_GPU_CV 1517mW/1493mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:32 RAM 4644/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [3%@1510,0%@729,2%@729,0%@729,66%@729,0%@729] GR3D_FREQ 60% cpu@55.718C soc2@54.875C soc0@53.906C gpu@55.062C tj@55.593C soc1@54.718C VDD_IN 6370mW/6374mW VDD_CPU_GPU_CV 1477mW/1492mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:33 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@729,3%@729,3%@729,66%@729,0%@729] GR3D_FREQ 69% cpu@55.375C soc2@54.843C soc0@53.843C gpu@55.156C tj@55.375C soc1@54.75C VDD_IN 6400mW/6374mW VDD_CPU_GPU_CV 1517mW/1493mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:33 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,0%@729,3%@729,0%@729,63%@729,0%@729] GR3D_FREQ 61% cpu@55.406C soc2@54.781C soc0@53.843C gpu@55.218C tj@55.406C soc1@54.781C VDD_IN 6400mW/6375mW VDD_CPU_GPU_CV 1517mW/1493mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:34 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@729,5%@729,65%@729,0%@729] GR3D_FREQ 68% cpu@55.718C soc2@54.843C soc0@53.843C gpu@55.437C tj@55.437C soc1@55.031C VDD_IN 6400mW/6375mW VDD_CPU_GPU_CV 1517mW/1494mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:34 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,3%@729,66%@729,0%@729] GR3D_FREQ 60% cpu@55.781C soc2@54.875C soc0@53.781C gpu@55.062C tj@55.781C soc1@55.031C VDD_IN 6360mW/6375mW VDD_CPU_GPU_CV 1477mW/1494mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:35 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,3%@1510,63%@729,0%@729] GR3D_FREQ 73% cpu@55.406C soc2@54.812C soc0@53.875C gpu@55.187C tj@55.406C soc1@54.968C VDD_IN 6400mW/6376mW VDD_CPU_GPU_CV 1517mW/1494mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:35 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,0%@729,64%@729,0%@729] GR3D_FREQ 67% cpu@55.593C soc2@54.781C soc0@53.906C gpu@55.062C tj@55.593C soc1@55C VDD_IN 6400mW/6376mW VDD_CPU_GPU_CV 1517mW/1495mW VDD_SOC 1640mW/1637mW
04-18-2026 13:21:36 RAM 4643/7620MB (lfb 31x4MB) SWAP 243/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,66%@729,0%@729] GR3D_FREQ 64% cpu@55.781C soc2@55C soc0@53.906C gpu@55.125C tj@55.781C soc1@54.968C VDD_IN 6400mW/6377mW VDD_CPU_GPU_CV 1517mW/1495mW VDD_SOC 1640mW/1637mW
