04-18-2026 16:54:13 RAM 5376/7620MB (lfb 12x4MB) SWAP 2601/3810MB (cached 17MB) CPU [3%@1510,0%@1510,3%@1510,1%@1510,2%@806,70%@806] GR3D_FREQ 62% cpu@57.281C soc2@56.531C soc0@55.25C gpu@57.468C tj@57.468C soc1@56.218C VDD_IN 8001mW/7880mW VDD_CPU_GPU_CV 2658mW/2601mW VDD_SOC 1791mW/1782mW
04-18-2026 16:54:13 RAM 5376/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@806,70%@806] GR3D_FREQ 62% cpu@57.093C soc2@56.5C soc0@55.531C gpu@57.031C tj@57.093C soc1@56.187C VDD_IN 7921mW/7881mW VDD_CPU_GPU_CV 2658mW/2602mW VDD_SOC 1791mW/1783mW
04-18-2026 16:54:14 RAM 5376/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,3%@1510,0%@1510,3%@1510,3%@806,70%@806] GR3D_FREQ 76% cpu@57.156C soc2@56.5C soc0@55.406C gpu@57.437C tj@57.437C soc1@56.156C VDD_IN 7961mW/7883mW VDD_CPU_GPU_CV 2658mW/2603mW VDD_SOC 1788mW/1783mW
04-18-2026 16:54:14 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1224,1%@1510,1%@1510,0%@1510,0%@806,72%@806] GR3D_FREQ 76% cpu@57C soc2@56.562C soc0@55.468C gpu@57C tj@57C soc1@56.218C VDD_IN 7961mW/7884mW VDD_CPU_GPU_CV 2658mW/2605mW VDD_SOC 1791mW/1783mW
04-18-2026 16:54:15 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [3%@1510,1%@1510,1%@1510,0%@1510,0%@806,71%@806] GR3D_FREQ 77% cpu@57C soc2@56.437C soc0@55.437C gpu@57.156C tj@57.156C soc1@56.25C VDD_IN 7961mW/7886mW VDD_CPU_GPU_CV 2658mW/2606mW VDD_SOC 1791mW/1783mW
04-18-2026 16:54:15 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@806,69%@806] GR3D_FREQ 79% cpu@57.406C soc2@56.531C soc0@55.468C gpu@57.093C tj@57.406C soc1@56.562C VDD_IN 7961mW/7888mW VDD_CPU_GPU_CV 2698mW/2608mW VDD_SOC 1788mW/1783mW
04-18-2026 16:54:16 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@806,71%@806] GR3D_FREQ 76% cpu@57.125C soc2@56.406C soc0@55.343C gpu@57.156C tj@57.156C soc1@56.406C VDD_IN 7921mW/7888mW VDD_CPU_GPU_CV 2658mW/2609mW VDD_SOC 1791mW/1783mW
04-18-2026 16:54:16 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [3%@1242,2%@1510,1%@1510,3%@1510,0%@729,70%@729] GR3D_FREQ 64% cpu@57.156C soc2@56.468C soc0@55.343C gpu@57.25C tj@57.25C soc1@56.343C VDD_IN 7961mW/7890mW VDD_CPU_GPU_CV 2658mW/2610mW VDD_SOC 1791mW/1783mW
04-18-2026 16:54:17 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,3%@729,69%@729] GR3D_FREQ 59% cpu@57.312C soc2@56.437C soc0@55.343C gpu@57.093C tj@57.312C soc1@56.406C VDD_IN 7961mW/7891mW VDD_CPU_GPU_CV 2698mW/2611mW VDD_SOC 1791mW/1783mW
04-18-2026 16:54:17 RAM 5375/7620MB (lfb 11x4MB) SWAP 2601/3810MB (cached 17MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,2%@806,72%@729] GR3D_FREQ 61% cpu@57.156C soc2@56.468C soc0@55.375C gpu@57.25C tj@57.25C soc1@56.312C VDD_IN 7961mW/7892mW VDD_CPU_GPU_CV 2658mW/2612mW VDD_SOC 1791mW/1784mW
