04-18-2026 15:47:45 RAM 4274/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 72% cpu@57.562C soc2@56.875C soc0@55.875C gpu@57.25C tj@57.562C soc1@56.593C VDD_IN 7921mW/7927mW VDD_CPU_GPU_CV 2539mW/2570mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:46 RAM 4274/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.562C soc2@56.906C soc0@55.937C gpu@57.281C tj@57.562C soc1@56.593C VDD_IN 7961mW/7928mW VDD_CPU_GPU_CV 2579mW/2570mW VDD_SOC 1791mW/1823mW
04-18-2026 15:47:46 RAM 4273/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 54% cpu@57.593C soc2@56.843C soc0@55.75C gpu@57.312C tj@57.781C soc1@56.593C VDD_IN 7921mW/7928mW VDD_CPU_GPU_CV 2583mW/2570mW VDD_SOC 1831mW/1823mW
04-18-2026 15:47:47 RAM 4273/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 62% cpu@57.718C soc2@56.906C soc0@55.781C gpu@57.5C tj@57.718C soc1@56.781C VDD_IN 8001mW/7929mW VDD_CPU_GPU_CV 2618mW/2571mW VDD_SOC 1828mW/1823mW
04-18-2026 15:47:47 RAM 4273/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 64% cpu@57.625C soc2@56.968C soc0@55.656C gpu@57.437C tj@57.625C soc1@56.75C VDD_IN 8001mW/7930mW VDD_CPU_GPU_CV 2618mW/2572mW VDD_SOC 1828mW/1824mW
04-18-2026 15:47:48 RAM 4273/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,3%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 67% cpu@57.593C soc2@56.875C soc0@55.781C gpu@57.25C tj@57.593C soc1@56.562C VDD_IN 7921mW/7930mW VDD_CPU_GPU_CV 2579mW/2572mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:48 RAM 4274/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@57.593C soc2@56.843C soc0@55.781C gpu@57.343C tj@57.593C soc1@56.562C VDD_IN 7921mW/7930mW VDD_CPU_GPU_CV 2539mW/2571mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:49 RAM 4274/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 75% cpu@57.656C soc2@56.937C soc0@55.656C gpu@57.406C tj@57.656C soc1@56.843C VDD_IN 7921mW/7930mW VDD_CPU_GPU_CV 2579mW/2571mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:49 RAM 4274/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 65% cpu@57.968C soc2@56.843C soc0@55.75C gpu@57.562C tj@57.656C soc1@56.781C VDD_IN 7961mW/7930mW VDD_CPU_GPU_CV 2618mW/2572mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:50 RAM 4279/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 64% cpu@57.968C soc2@56.843C soc0@55.75C gpu@57.437C tj@57.968C soc1@56.812C VDD_IN 8001mW/7932mW VDD_CPU_GPU_CV 2618mW/2573mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:50 RAM 4279/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [1%@1510,0%@1510,0%@1510,3%@1510,1%@1510,100%@1510] GR3D_FREQ 58% cpu@57.625C soc2@56.906C soc0@55.625C gpu@57.593C tj@57.625C soc1@56.75C VDD_IN 8001mW/7933mW VDD_CPU_GPU_CV 2618mW/2573mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:51 RAM 4279/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@57.75C soc2@56.937C soc0@55.718C gpu@57.218C tj@57.75C soc1@56.656C VDD_IN 7921mW/7932mW VDD_CPU_GPU_CV 2583mW/2574mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:51 RAM 4279/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [3%@1510,3%@1510,1%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@57.937C soc2@56.843C soc0@55.687C gpu@57.343C tj@57.937C soc1@56.625C VDD_IN 7921mW/7932mW VDD_CPU_GPU_CV 2583mW/2574mW VDD_SOC 1831mW/1824mW
04-18-2026 15:47:52 RAM 4279/7620MB (lfb 16x4MB) SWAP 2418/3810MB (cached 13MB) CPU [0%@1510,3%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 60% cpu@57.75C soc2@56.937C soc0@55.625C gpu@57.187C tj@57.75C soc1@56.562C VDD_IN 7921mW/7932mW VDD_CPU_GPU_CV 2579mW/2574mW VDD_SOC 1831mW/1825mW
