04-18-2026 23:16:15 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,1%@729,54%@729] GR3D_FREQ 70% cpu@55.062C soc2@54.656C soc0@53.531C gpu@55.593C tj@55.593C soc1@54.375C VDD_IN 9205mW/9141mW VDD_CPU_GPU_CV 3441mW/3409mW VDD_SOC 1980mW/1949mW
04-18-2026 23:16:15 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@729,0%@729,0%@729,1%@729,56%@729] GR3D_FREQ 83% cpu@55C soc2@54.656C soc0@53.437C gpu@55.593C tj@55.593C soc1@54.343C VDD_IN 9086mW/9140mW VDD_CPU_GPU_CV 3401mW/3409mW VDD_SOC 1941mW/1949mW
04-18-2026 23:16:16 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,3%@729,0%@729,0%@729,54%@729] GR3D_FREQ 70% cpu@55.281C soc2@54.656C soc0@53.531C gpu@55.718C tj@55.718C soc1@54.5C VDD_IN 9126mW/9139mW VDD_CPU_GPU_CV 3441mW/3410mW VDD_SOC 1941mW/1949mW
04-18-2026 23:16:16 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@729,0%@729,42%@729,15%@729] GR3D_FREQ 87% cpu@55.437C soc2@54.625C soc0@53.593C gpu@56.031C tj@56.031C soc1@54.343C VDD_IN 9285mW/9142mW VDD_CPU_GPU_CV 3520mW/3412mW VDD_SOC 1980mW/1950mW
04-18-2026 23:16:17 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [5%@1510,1%@1510,0%@729,0%@729,50%@729,1%@729] GR3D_FREQ 83% cpu@55.156C soc2@54.75C soc0@53.531C gpu@55.625C tj@55.625C soc1@54.5C VDD_IN 9404mW/9148mW VDD_CPU_GPU_CV 3553mW/3415mW VDD_SOC 1980mW/1950mW
04-18-2026 23:16:17 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,55%@729,0%@729] GR3D_FREQ 98% cpu@55.312C soc2@54.687C soc0@53.562C gpu@55.906C tj@55.906C soc1@54.437C VDD_IN 9205mW/9149mW VDD_CPU_GPU_CV 3441mW/3415mW VDD_SOC 1941mW/1950mW
04-18-2026 23:16:18 RAM 6070/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,54%@729,3%@729] GR3D_FREQ 97% cpu@55.468C soc2@54.687C soc0@53.468C gpu@55.593C tj@55.593C soc1@54.406C VDD_IN 9205mW/9150mW VDD_CPU_GPU_CV 3480mW/3416mW VDD_SOC 1941mW/1950mW
04-18-2026 23:16:18 RAM 6070/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@729,0%@729,54%@729,0%@729] GR3D_FREQ 82% cpu@55.218C soc2@54.812C soc0@53.5C gpu@55.593C tj@55.593C soc1@54.375C VDD_IN 9166mW/9150mW VDD_CPU_GPU_CV 3441mW/3417mW VDD_SOC 1941mW/1950mW
04-18-2026 23:16:19 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,0%@729,1%@729,0%@729,56%@729,0%@729] GR3D_FREQ 56% cpu@55.281C soc2@54.843C soc0@53.718C gpu@55.75C tj@55.75C soc1@54.375C VDD_IN 9126mW/9150mW VDD_CPU_GPU_CV 3401mW/3417mW VDD_SOC 1941mW/1950mW
04-18-2026 23:16:19 RAM 6069/7620MB (lfb 5x4MB) SWAP 1354/3810MB (cached 16MB) CPU [1%@1510,3%@1510,0%@729,1%@729,52%@729,1%@729] GR3D_FREQ 70% cpu@55.093C soc2@54.843C soc0@53.781C gpu@55.75C tj@55.75C soc1@54.375C VDD_IN 9285mW/9152mW VDD_CPU_GPU_CV 3480mW/3418mW VDD_SOC 1980mW/1950mW
