04-18-2026 12:17:30 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 50% cpu@57.718C soc2@56.562C soc0@55.468C gpu@57.031C tj@57.718C soc1@56.531C VDD_IN 6760mW/6786mW VDD_CPU_GPU_CV 1913mW/1911mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:30 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.437C soc2@56.625C soc0@55.562C gpu@56.906C tj@57.437C soc1@56.625C VDD_IN 6760mW/6785mW VDD_CPU_GPU_CV 1913mW/1911mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:31 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.531C soc2@56.687C soc0@55.562C gpu@57.125C tj@57.531C soc1@56.562C VDD_IN 6760mW/6784mW VDD_CPU_GPU_CV 1913mW/1911mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:31 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,3%@960,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@57.468C soc2@56.656C soc0@55.531C gpu@57.25C tj@57.468C soc1@56.5C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1635mW
04-18-2026 12:17:32 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.375C soc2@56.656C soc0@55.468C gpu@56.718C tj@57.375C soc1@56.5C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:32 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,2%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.468C soc2@56.625C soc0@55.625C gpu@56.812C tj@57.468C soc1@56.531C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:33 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 50% cpu@57.281C soc2@56.656C soc0@55.625C gpu@56.968C tj@57.5C soc1@56.5C VDD_IN 6760mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:33 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.281C soc2@56.625C soc0@55.656C gpu@57.031C tj@57.281C soc1@56.5C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:34 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,3%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.437C soc2@56.5C soc0@55.656C gpu@56.656C tj@57.437C soc1@56.406C VDD_IN 6800mW/6786mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:34 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@910,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.437C soc2@56.562C soc0@55.593C gpu@56.718C tj@57.437C soc1@56.468C VDD_IN 6800mW/6786mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:35 RAM 3845/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@57.343C soc2@56.562C soc0@55.531C gpu@56.656C tj@57.343C soc1@56.437C VDD_IN 6800mW/6786mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:35 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.375C soc2@56.562C soc0@55.531C gpu@56.75C tj@57.375C soc1@56.5C VDD_IN 6800mW/6786mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:36 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@57.375C soc2@56.531C soc0@55.531C gpu@56.781C tj@57.375C soc1@56.468C VDD_IN 6800mW/6787mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:36 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1106,1%@1510,100%@1510] GR3D_FREQ 54% cpu@57.25C soc2@56.562C soc0@55.5C gpu@56.937C tj@57.25C soc1@56.437C VDD_IN 6800mW/6787mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:37 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,1%@1510,100%@1510] GR3D_FREQ 52% cpu@57.375C soc2@56.5C soc0@55.437C gpu@57.125C tj@57.375C soc1@56.625C VDD_IN 6760mW/6786mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:37 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@57.437C soc2@56.5C soc0@55.468C gpu@56.625C tj@57.437C soc1@56.562C VDD_IN 6760mW/6786mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:38 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.531C soc2@56.5C soc0@55.5C gpu@56.718C tj@57.531C soc1@56.562C VDD_IN 6760mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:38 RAM 3843/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,5%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 53% cpu@57.25C soc2@56.437C soc0@55.437C gpu@56.687C tj@57.25C soc1@56.5C VDD_IN 6800mW/6786mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:39 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.437C soc2@56.468C soc0@55.375C gpu@56.718C tj@57.437C soc1@56.5C VDD_IN 6760mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:39 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.5C soc2@56.562C soc0@55.343C gpu@56.906C tj@57.5C soc1@56.531C VDD_IN 6749mW/6784mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:40 RAM 3844/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.25C soc2@56.5C soc0@55.312C gpu@57C tj@57.781C soc1@56.468C VDD_IN 6760mW/6784mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:40 RAM 3843/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,5%@1510,5%@729,7%@729,1%@1510,100%@1510] GR3D_FREQ 51% cpu@57.343C soc2@56.593C soc0@55.375C gpu@56.593C tj@57.343C soc1@56.406C VDD_IN 6800mW/6784mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:41 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@57.343C soc2@56.5C soc0@55.406C gpu@56.593C tj@57.343C soc1@56.406C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:41 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,0%@1510,3%@1510,1%@1510,100%@1510] GR3D_FREQ 55% cpu@57.281C soc2@56.531C soc0@55.281C gpu@56.718C tj@57.5C soc1@56.406C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:42 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 51% cpu@57.281C soc2@56.5C soc0@55.531C gpu@56.906C tj@57.281C soc1@56.468C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:42 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,5%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 56% cpu@57.437C soc2@56.437C soc0@55.531C gpu@56.75C tj@57.437C soc1@56.406C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:43 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,3%@1510,1%@1510,100%@1510] GR3D_FREQ 51% cpu@57.25C soc2@56.468C soc0@55.531C gpu@56.875C tj@57.25C soc1@56.281C VDD_IN 6760mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:43 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.125C soc2@56.375C soc0@55.5C gpu@57.062C tj@57.125C soc1@56.343C VDD_IN 6800mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:44 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@57.25C soc2@56.437C soc0@55.406C gpu@56.562C tj@57.25C soc1@56.343C VDD_IN 6760mW/6785mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:45 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@57.281C soc2@56.406C soc0@55.406C gpu@56.625C tj@57.281C soc1@56.25C VDD_IN 6749mW/6784mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
04-18-2026 12:17:45 RAM 3842/7620MB (lfb 50x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@908,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@57.156C soc2@56.406C soc0@55.406C gpu@56.531C tj@57.156C soc1@56.281C VDD_IN 6760mW/6784mW VDD_CPU_GPU_CV 1913mW/1912mW VDD_SOC 1637mW/1636mW
