04-18-2026 16:41:55 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 74% cpu@60.062C soc2@59.062C soc0@57.812C gpu@59.968C tj@60.062C soc1@58.656C VDD_IN 9927mW/9838mW VDD_CPU_GPU_CV 4139mW/4051mW VDD_SOC 2013mW/1997mW
04-18-2026 16:41:55 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 89% cpu@59.718C soc2@59.156C soc0@57.781C gpu@60.093C tj@60.093C soc1@58.656C VDD_IN 9927mW/9840mW VDD_CPU_GPU_CV 4100mW/4052mW VDD_SOC 2013mW/1998mW
04-18-2026 16:41:56 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.875C soc2@59.125C soc0@57.843C gpu@60.375C tj@60.375C soc1@58.656C VDD_IN 9967mW/9843mW VDD_CPU_GPU_CV 4139mW/4054mW VDD_SOC 1974mW/1997mW
04-18-2026 16:41:56 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 84% cpu@59.968C soc2@59.093C soc0@57.843C gpu@60C tj@60C soc1@58.562C VDD_IN 9927mW/9845mW VDD_CPU_GPU_CV 4139mW/4056mW VDD_SOC 2013mW/1998mW
04-18-2026 16:41:57 RAM 5176/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@59.687C soc2@59.093C soc0@57.781C gpu@60.25C tj@60.25C soc1@58.625C VDD_IN 9848mW/9846mW VDD_CPU_GPU_CV 4100mW/4057mW VDD_SOC 2017mW/1998mW
04-18-2026 16:41:57 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [3%@1510,1%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@59.875C soc2@59.062C soc0@57.781C gpu@59.937C tj@59.937C soc1@58.562C VDD_IN 9888mW/9847mW VDD_CPU_GPU_CV 4100mW/4059mW VDD_SOC 2017mW/1999mW
04-18-2026 16:41:58 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,1%@729,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 71% cpu@59.968C soc2@59.062C soc0@57.781C gpu@60C tj@60C soc1@58.625C VDD_IN 9927mW/9848mW VDD_CPU_GPU_CV 4139mW/4060mW VDD_SOC 2013mW/1999mW
04-18-2026 16:41:58 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@930,0%@729,1%@729,3%@1510,100%@1510] GR3D_FREQ 98% cpu@59.687C soc2@59.218C soc0@57.781C gpu@60.031C tj@60.031C soc1@58.531C VDD_IN 9927mW/9850mW VDD_CPU_GPU_CV 4139mW/4062mW VDD_SOC 1974mW/1998mW
04-18-2026 16:41:59 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@59.75C soc2@59.187C soc0@57.812C gpu@60.25C tj@60.25C soc1@58.5C VDD_IN 9927mW/9852mW VDD_CPU_GPU_CV 4139mW/4064mW VDD_SOC 2013mW/1999mW
04-18-2026 16:41:59 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,0%@1510,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 76% cpu@59.843C soc2@59.156C soc0@57.781C gpu@59.875C tj@59.875C soc1@58.531C VDD_IN 10006mW/9855mW VDD_CPU_GPU_CV 4139mW/4066mW VDD_SOC 2013mW/1999mW
04-18-2026 16:42:00 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [0%@1510,3%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 86% cpu@59.718C soc2@59.25C soc0@58C gpu@60.218C tj@59.968C soc1@58.531C VDD_IN 9927mW/9857mW VDD_CPU_GPU_CV 4100mW/4066mW VDD_SOC 2013mW/1999mW
04-18-2026 16:42:00 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@59.75C soc2@59.187C soc0@58.062C gpu@59.937C tj@59.937C soc1@58.593C VDD_IN 9967mW/9859mW VDD_CPU_GPU_CV 4132mW/4068mW VDD_SOC 2013mW/1999mW
04-18-2026 16:42:01 RAM 5175/7620MB (lfb 10x4MB) SWAP 2620/3810MB (cached 15MB) CPU [3%@1510,1%@1510,1%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 85% cpu@59.812C soc2@59.25C soc0@57.968C gpu@59.937C tj@59.937C soc1@58.531C VDD_IN 9888mW/9860mW VDD_CPU_GPU_CV 4100mW/4068mW VDD_SOC 2017mW/2000mW
