04-18-2026 12:44:42 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,3%@1510,0%@1510,100%@1510] GR3D_FREQ 36% cpu@59.156C soc2@58.468C soc0@57.25C gpu@59.343C tj@59.343C soc1@57.906C VDD_IN 9245mW/9196mW VDD_CPU_GPU_CV 3480mW/3473mW VDD_SOC 1980mW/1973mW
04-18-2026 12:44:43 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,3%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@59.218C soc2@58.5C soc0@57.281C gpu@59.312C tj@59.312C soc1@57.906C VDD_IN 9285mW/9198mW VDD_CPU_GPU_CV 3553mW/3475mW VDD_SOC 1980mW/1973mW
04-18-2026 12:44:43 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 80% cpu@58.968C soc2@58.562C soc0@57.281C gpu@59.281C tj@59.281C soc1@57.906C VDD_IN 9245mW/9200mW VDD_CPU_GPU_CV 3520mW/3476mW VDD_SOC 1980mW/1974mW
04-18-2026 12:44:44 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@59.062C soc2@58.5C soc0@57.281C gpu@59.031C tj@59.062C soc1@57.875C VDD_IN 9245mW/9201mW VDD_CPU_GPU_CV 3520mW/3477mW VDD_SOC 1980mW/1974mW
04-18-2026 12:44:44 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@933,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 98% cpu@59.093C soc2@58.5C soc0@57.281C gpu@59.062C tj@59.093C soc1@58C VDD_IN 9285mW/9203mW VDD_CPU_GPU_CV 3514mW/3478mW VDD_SOC 1980mW/1974mW
04-18-2026 12:44:45 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,2%@729,0%@1510,100%@1510] GR3D_FREQ 35% cpu@59.062C soc2@58.5C soc0@57.281C gpu@59.156C tj@59.156C soc1@57.937C VDD_IN 9245mW/9204mW VDD_CPU_GPU_CV 3520mW/3479mW VDD_SOC 1980mW/1974mW
04-18-2026 12:44:45 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@59.125C soc2@58.5C soc0@57.187C gpu@59.437C tj@59.437C soc1@58C VDD_IN 9309mW/9206mW VDD_CPU_GPU_CV 3553mW/3481mW VDD_SOC 1980mW/1974mW
04-18-2026 12:44:46 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,5%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 40% cpu@59.093C soc2@58.562C soc0@57.281C gpu@59.437C tj@59.437C soc1@57.937C VDD_IN 9245mW/9207mW VDD_CPU_GPU_CV 3520mW/3482mW VDD_SOC 1980mW/1974mW
04-18-2026 12:44:46 RAM 4171/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 53% cpu@59.468C soc2@58.468C soc0@57.281C gpu@59.031C tj@59.468C soc1@58.156C VDD_IN 9205mW/9207mW VDD_CPU_GPU_CV 3520mW/3483mW VDD_SOC 1980mW/1974mW
04-18-2026 12:44:47 RAM 4172/7620MB (lfb 26x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 71% cpu@59.093C soc2@58.5C soc0@57.281C gpu@59.125C tj@59.125C soc1@58.156C VDD_IN 9270mW/9209mW VDD_CPU_GPU_CV 3514mW/3483mW VDD_SOC 1980mW/1975mW
