04-18-2026 15:26:52 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@1510,1%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 66% cpu@58.687C soc2@57.906C soc0@56.75C gpu@58.781C tj@58.781C soc1@57.375C VDD_IN 9507mW/9465mW VDD_CPU_GPU_CV 3672mW/3612mW VDD_SOC 2017mW/2011mW
04-18-2026 15:26:53 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,3%@1510,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 81% cpu@58.468C soc2@57.906C soc0@56.718C gpu@58.875C tj@58.875C soc1@57.343C VDD_IN 9547mW/9467mW VDD_CPU_GPU_CV 3672mW/3613mW VDD_SOC 2020mW/2011mW
04-18-2026 15:26:53 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@729,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 49% cpu@58.531C soc2@57.875C soc0@56.75C gpu@58.812C tj@58.812C soc1@57.406C VDD_IN 9587mW/9470mW VDD_CPU_GPU_CV 3672mW/3615mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:54 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,100%@1510,1%@1510] GR3D_FREQ 60% cpu@58.906C soc2@57.906C soc0@56.687C gpu@58.906C tj@58.906C soc1@57.375C VDD_IN 9468mW/9470mW VDD_CPU_GPU_CV 3593mW/3614mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:54 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 98% cpu@58.531C soc2@57.906C soc0@56.718C gpu@58.593C tj@58.593C soc1@57.5C VDD_IN 9587mW/9472mW VDD_CPU_GPU_CV 3672mW/3616mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:55 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,1%@1510,0%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 44% cpu@58.75C soc2@57.875C soc0@56.687C gpu@59.031C tj@59.031C soc1@57.531C VDD_IN 9547mW/9474mW VDD_CPU_GPU_CV 3632mW/3616mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:55 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,0%@909,0%@729,0%@729,100%@1510,1%@1510] GR3D_FREQ 55% cpu@58.781C soc2@57.843C soc0@56.656C gpu@58.593C tj@58.781C soc1@57.5C VDD_IN 9547mW/9476mW VDD_CPU_GPU_CV 3672mW/3617mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:56 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,3%@1510,0%@1510,1%@1510,100%@1510,0%@1510] GR3D_FREQ 96% cpu@58.937C soc2@58C soc0@56.687C gpu@58.656C tj@58.937C soc1@57.406C VDD_IN 9547mW/9477mW VDD_CPU_GPU_CV 3711mW/3619mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:56 RAM 4894/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [0%@1510,1%@1510,1%@1510,1%@729,100%@1510,1%@1510] GR3D_FREQ 59% cpu@58.687C soc2@58C soc0@56.625C gpu@58.843C tj@58.843C soc1@57.5C VDD_IN 9507mW/9478mW VDD_CPU_GPU_CV 3711mW/3621mW VDD_SOC 2017mW/2012mW
04-18-2026 15:26:57 RAM 4895/7620MB (lfb 9x4MB) SWAP 2413/3810MB (cached 22MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,100%@1510,0%@1510] GR3D_FREQ 62% cpu@58.718C soc2@58.031C soc0@56.656C gpu@58.718C tj@58.843C soc1@57.531C VDD_IN 9507mW/9478mW VDD_CPU_GPU_CV 3672mW/3622mW VDD_SOC 2017mW/2012mW
