04-18-2026 13:51:37 RAM 5642/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,2%@1510,0%@1510,0%@729,56%@729] GR3D_FREQ 99% cpu@60.625C soc2@60.25C soc0@59.062C gpu@61.093C tj@61.093C soc1@59.593C VDD_IN 10841mW/10757mW VDD_CPU_GPU_CV 4165mW/4143mW VDD_SOC 2322mW/2309mW
04-18-2026 13:51:37 RAM 5642/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [2%@1510,1%@1510,0%@1510,1%@1510,0%@1190,58%@1190] GR3D_FREQ 85% cpu@60.687C soc2@60.281C soc0@58.937C gpu@61.125C tj@61.125C soc1@59.5C VDD_IN 10802mW/10758mW VDD_CPU_GPU_CV 4086mW/4141mW VDD_SOC 2322mW/2309mW
04-18-2026 13:51:38 RAM 5642/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,1%@1190,51%@1190] GR3D_FREQ 99% cpu@60.781C soc2@60.281C soc0@58.937C gpu@61.156C tj@61.156C soc1@59.593C VDD_IN 10683mW/10756mW VDD_CPU_GPU_CV 4086mW/4140mW VDD_SOC 2326mW/2309mW
04-18-2026 13:51:39 RAM 5642/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,1%@1510,3%@1510,1%@1510,0%@729,56%@729] GR3D_FREQ 99% cpu@60.625C soc2@60.156C soc0@58.937C gpu@61.187C tj@61.187C soc1@59.812C VDD_IN 10740mW/10756mW VDD_CPU_GPU_CV 4047mW/4138mW VDD_SOC 2326mW/2310mW
04-18-2026 13:51:39 RAM 5642/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@1190,58%@1190] GR3D_FREQ 99% cpu@60.968C soc2@60.281C soc0@59C gpu@61.187C tj@61.187C soc1@59.875C VDD_IN 10740mW/10756mW VDD_CPU_GPU_CV 4008mW/4134mW VDD_SOC 2326mW/2310mW
04-18-2026 13:51:40 RAM 5642/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@1190,53%@1190] GR3D_FREQ 87% cpu@60.656C soc2@60.218C soc0@58.906C gpu@61.312C tj@61.312C soc1@59.75C VDD_IN 10723mW/10755mW VDD_CPU_GPU_CV 4086mW/4133mW VDD_SOC 2326mW/2311mW
04-18-2026 13:51:40 RAM 5643/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 99% cpu@60.75C soc2@60.187C soc0@58.968C gpu@61.187C tj@61.187C soc1@59.718C VDD_IN 10762mW/10755mW VDD_CPU_GPU_CV 4126mW/4133mW VDD_SOC 2326mW/2311mW
04-18-2026 13:51:41 RAM 5643/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@729,7%@729,0%@883,58%@883] GR3D_FREQ 99% cpu@60.843C soc2@60.25C soc0@59C gpu@61.375C tj@61.375C soc1@59.656C VDD_IN 10723mW/10754mW VDD_CPU_GPU_CV 4047mW/4131mW VDD_SOC 2326mW/2311mW
04-18-2026 13:51:41 RAM 5643/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@1190,55%@1190] GR3D_FREQ 68% cpu@61C soc2@60.312C soc0@58.937C gpu@61.437C tj@61.437C soc1@59.656C VDD_IN 10780mW/10755mW VDD_CPU_GPU_CV 4047mW/4129mW VDD_SOC 2326mW/2311mW
04-18-2026 13:51:42 RAM 5643/7620MB (lfb 7x4MB) SWAP 1370/3810MB (cached 16MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@1190,54%@1190] GR3D_FREQ 99% cpu@60.718C soc2@60.312C soc0@58.937C gpu@61.062C tj@61.062C soc1@59.625C VDD_IN 10762mW/10755mW VDD_CPU_GPU_CV 4086mW/4128mW VDD_SOC 2326mW/2312mW
