04-18-2026 17:34:58 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,1%@729,0%@729,58%@729,0%@729] GR3D_FREQ 87% cpu@59.031C soc2@58.656C soc0@57.343C gpu@59.531C tj@59.531C soc1@58.093C VDD_IN 9309mW/9162mW VDD_CPU_GPU_CV 3316mW/3202mW VDD_SOC 2099mW/2058mW
04-18-2026 17:34:58 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@729,3%@729,0%@729,59%@729,0%@729] GR3D_FREQ 81% cpu@59.218C soc2@58.593C soc0@57.343C gpu@59.187C tj@59.218C soc1@58.062C VDD_IN 9205mW/9163mW VDD_CPU_GPU_CV 3243mW/3203mW VDD_SOC 2060mW/2058mW
04-18-2026 17:34:59 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,0%@729,1%@729,58%@729,0%@729] GR3D_FREQ 73% cpu@59.218C soc2@58.531C soc0@57.281C gpu@59.281C tj@59.281C soc1@58.062C VDD_IN 9126mW/9162mW VDD_CPU_GPU_CV 3203mW/3203mW VDD_SOC 2060mW/2058mW
04-18-2026 17:34:59 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@729,0%@729,1%@729,60%@729,0%@729] GR3D_FREQ 59% cpu@59C soc2@58.593C soc0@57.281C gpu@59.312C tj@59.312C soc1@58.062C VDD_IN 9126mW/9162mW VDD_CPU_GPU_CV 3203mW/3203mW VDD_SOC 2060mW/2058mW
04-18-2026 17:35:00 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [1%@1510,3%@1510,3%@729,0%@729,56%@729,0%@729] GR3D_FREQ 69% cpu@59.093C soc2@58.562C soc0@57.312C gpu@59.343C tj@59.343C soc1@58C VDD_IN 9309mW/9165mW VDD_CPU_GPU_CV 3316mW/3206mW VDD_SOC 2060mW/2058mW
04-18-2026 17:35:00 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [5%@1214,0%@1218,4%@1510,1%@1510,57%@729,1%@729] GR3D_FREQ 98% cpu@58.937C soc2@58.562C soc0@57.468C gpu@59.437C tj@59.437C soc1@58.031C VDD_IN 9388mW/9169mW VDD_CPU_GPU_CV 3316mW/3208mW VDD_SOC 2096mW/2059mW
04-18-2026 17:35:01 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,56%@729,0%@729] GR3D_FREQ 67% cpu@59.031C soc2@58.531C soc0@57.375C gpu@59.5C tj@59.5C soc1@58.031C VDD_IN 9309mW/9172mW VDD_CPU_GPU_CV 3316mW/3210mW VDD_SOC 2099mW/2059mW
04-18-2026 17:35:01 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,1%@729,1%@729,60%@729,1%@729] GR3D_FREQ 55% cpu@59.218C soc2@58.562C soc0@57.343C gpu@59.406C tj@59.406C soc1@58.062C VDD_IN 9205mW/9173mW VDD_CPU_GPU_CV 3243mW/3211mW VDD_SOC 2060mW/2059mW
04-18-2026 17:35:02 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,3%@729,1%@729,60%@729,0%@729] GR3D_FREQ 55% cpu@58.937C soc2@58.562C soc0@57.406C gpu@59.468C tj@59.468C soc1@58.093C VDD_IN 9166mW/9173mW VDD_CPU_GPU_CV 3203mW/3211mW VDD_SOC 2060mW/2059mW
04-18-2026 17:35:02 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,0%@1510,0%@729,0%@729,60%@729,0%@729] GR3D_FREQ 55% cpu@59.125C soc2@58.5C soc0@57.437C gpu@59.718C tj@59.718C soc1@58.281C VDD_IN 9166mW/9173mW VDD_CPU_GPU_CV 3203mW/3211mW VDD_SOC 2060mW/2059mW
04-18-2026 17:35:03 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,1%@1510,0%@729,0%@729,57%@729,1%@729] GR3D_FREQ 70% cpu@59.156C soc2@58.531C soc0@57.375C gpu@59.218C tj@59.218C soc1@58.281C VDD_IN 9270mW/9174mW VDD_CPU_GPU_CV 3277mW/3212mW VDD_SOC 2060mW/2059mW
04-18-2026 17:35:03 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,0%@1510,0%@729,5%@729,54%@729,0%@729] GR3D_FREQ 69% cpu@59.312C soc2@58.5C soc0@57.406C gpu@59.406C tj@59.406C soc1@58.156C VDD_IN 9388mW/9178mW VDD_CPU_GPU_CV 3356mW/3214mW VDD_SOC 2096mW/2060mW
04-18-2026 17:35:04 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [3%@1510,0%@1510,0%@729,1%@729,58%@729,0%@729] GR3D_FREQ 54% cpu@59C soc2@58.531C soc0@57.437C gpu@59.218C tj@59.468C soc1@58.187C VDD_IN 9349mW/9181mW VDD_CPU_GPU_CV 3316mW/3216mW VDD_SOC 2060mW/2060mW
04-18-2026 17:35:04 RAM 5851/7620MB (lfb 7x4MB) SWAP 3690/3810MB (cached 36MB) CPU [0%@1510,3%@1510,0%@729,3%@729,60%@729,0%@729] GR3D_FREQ 84% cpu@59.062C soc2@58.593C soc0@57.343C gpu@59.187C tj@59.187C soc1@58.218C VDD_IN 9166mW/9181mW VDD_CPU_GPU_CV 3203mW/3216mW VDD_SOC 2060mW/2060mW
