04-18-2026 17:31:39 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@729,56%@729] GR3D_FREQ 69% cpu@57.875C soc2@57.437C soc0@56.343C gpu@58.281C tj@58.281C soc1@56.968C VDD_IN 9349mW/9121mW VDD_CPU_GPU_CV 3316mW/3179mW VDD_SOC 2096mW/2040mW
04-18-2026 17:31:40 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [2%@1510,3%@1510,2%@1510,0%@1510,0%@729,56%@729] GR3D_FREQ 98% cpu@57.906C soc2@57.531C soc0@56.375C gpu@58.343C tj@58.343C soc1@56.968C VDD_IN 9349mW/9127mW VDD_CPU_GPU_CV 3356mW/3184mW VDD_SOC 2060mW/2040mW
04-18-2026 17:31:40 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@903,0%@729,0%@729,0%@729,61%@729] GR3D_FREQ 98% cpu@58.218C soc2@57.531C soc0@56.281C gpu@58.468C tj@58.468C soc1@57.031C VDD_IN 9205mW/9129mW VDD_CPU_GPU_CV 3243mW/3186mW VDD_SOC 2060mW/2041mW
04-18-2026 17:31:41 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [2%@1510,1%@1510,2%@729,1%@729,0%@729,60%@729] GR3D_FREQ 98% cpu@58.343C soc2@57.406C soc0@56.25C gpu@58.687C tj@58.687C soc1@57.343C VDD_IN 9126mW/9129mW VDD_CPU_GPU_CV 3164mW/3185mW VDD_SOC 2020mW/2040mW
04-18-2026 17:31:41 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,0%@729,60%@729] GR3D_FREQ 98% cpu@57.968C soc2@57.5C soc0@56.343C gpu@58.156C tj@58.156C soc1@57.375C VDD_IN 9086mW/9128mW VDD_CPU_GPU_CV 3164mW/3185mW VDD_SOC 2020mW/2040mW
04-18-2026 17:31:42 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,3%@729,1%@729,0%@729,56%@729] GR3D_FREQ 96% cpu@58.125C soc2@57.625C soc0@56.281C gpu@58.281C tj@58.281C soc1@57.25C VDD_IN 9245mW/9131mW VDD_CPU_GPU_CV 3277mW/3187mW VDD_SOC 2060mW/2040mW
04-18-2026 17:31:42 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,1%@729,55%@729] GR3D_FREQ 75% cpu@58.25C soc2@57.531C soc0@56.281C gpu@58.343C tj@58.343C soc1@57.218C VDD_IN 9349mW/9136mW VDD_CPU_GPU_CV 3356mW/3191mW VDD_SOC 2099mW/2042mW
04-18-2026 17:31:43 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,0%@1510,5%@729,1%@729,0%@729,57%@729] GR3D_FREQ 98% cpu@58.187C soc2@57.531C soc0@56.375C gpu@58.281C tj@58.281C soc1@57.125C VDD_IN 9270mW/9139mW VDD_CPU_GPU_CV 3277mW/3193mW VDD_SOC 2060mW/2042mW
04-18-2026 17:31:43 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [3%@1510,1%@1510,0%@729,1%@729,0%@729,62%@729] GR3D_FREQ 98% cpu@58.062C soc2@57.468C soc0@56.375C gpu@58.343C tj@58.343C soc1@57.187C VDD_IN 9126mW/9139mW VDD_CPU_GPU_CV 3203mW/3193mW VDD_SOC 2060mW/2042mW
04-18-2026 17:31:44 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,0%@729,60%@729] GR3D_FREQ 95% cpu@58.25C soc2@57.625C soc0@56.343C gpu@58.562C tj@58.562C soc1@57.062C VDD_IN 9086mW/9138mW VDD_CPU_GPU_CV 3164mW/3192mW VDD_SOC 2020mW/2042mW
04-18-2026 17:31:44 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [0%@1510,3%@1510,1%@1510,0%@1510,1%@729,60%@729] GR3D_FREQ 86% cpu@58.031C soc2@57.625C soc0@56.375C gpu@58.187C tj@58.187C soc1@57.187C VDD_IN 9047mW/9136mW VDD_CPU_GPU_CV 3164mW/3192mW VDD_SOC 2020mW/2041mW
04-18-2026 17:31:45 RAM 5835/7620MB (lfb 7x4MB) SWAP 3699/3810MB (cached 36MB) CPU [1%@1510,1%@1510,4%@1510,0%@1510,0%@729,57%@729] GR3D_FREQ 81% cpu@58.062C soc2@57.562C soc0@56.375C gpu@58.593C tj@58.593C soc1@57.125C VDD_IN 9270mW/9139mW VDD_CPU_GPU_CV 3277mW/3194mW VDD_SOC 2060mW/2042mW
