04-18-2026 17:50:29 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@806,2%@806,14%@806,55%@806,0%@729,0%@729] GR3D_FREQ 60% cpu@55.625C soc2@54.937C soc0@54.156C gpu@55.281C tj@55.625C soc1@54.843C VDD_IN 6600mW/6537mW VDD_CPU_GPU_CV 1597mW/1587mW VDD_SOC 1677mW/1670mW
04-18-2026 17:50:30 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,1%@1510,72%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 58% cpu@55.593C soc2@54.906C soc0@54.031C gpu@55.125C tj@55.593C soc1@54.843C VDD_IN 6520mW/6536mW VDD_CPU_GPU_CV 1557mW/1586mW VDD_SOC 1677mW/1670mW
04-18-2026 17:50:30 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [7%@806,2%@806,69%@806,1%@806,0%@729,0%@729] GR3D_FREQ 71% cpu@55.406C soc2@54.937C soc0@53.968C gpu@55.312C tj@55.406C soc1@54.875C VDD_IN 6560mW/6537mW VDD_CPU_GPU_CV 1597mW/1586mW VDD_SOC 1677mW/1670mW
04-18-2026 17:50:31 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@806,0%@806,72%@806,0%@806,1%@729,1%@729] GR3D_FREQ 62% cpu@55.531C soc2@54.968C soc0@53.937C gpu@55.468C tj@55.531C soc1@54.843C VDD_IN 6560mW/6537mW VDD_CPU_GPU_CV 1597mW/1587mW VDD_SOC 1677mW/1670mW
04-18-2026 17:50:31 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,18%@1510,52%@1510,0%@1510,1%@729,1%@729] GR3D_FREQ 64% cpu@55.5C soc2@54.906C soc0@53.906C gpu@55.25C tj@55.5C soc1@55.031C VDD_IN 6520mW/6537mW VDD_CPU_GPU_CV 1597mW/1587mW VDD_SOC 1677mW/1671mW
04-18-2026 17:50:32 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@729,36%@729,34%@729,1%@729,0%@729,0%@729] GR3D_FREQ 48% cpu@55.625C soc2@54.968C soc0@53.937C gpu@55.468C tj@55.593C soc1@55.031C VDD_IN 6600mW/6538mW VDD_CPU_GPU_CV 1637mW/1588mW VDD_SOC 1677mW/1671mW
04-18-2026 17:50:32 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@883,0%@883,73%@883,0%@883,0%@729,1%@729] GR3D_FREQ 64% cpu@55.593C soc2@54.906C soc0@53.968C gpu@55.187C tj@55.593C soc1@54.937C VDD_IN 6520mW/6538mW VDD_CPU_GPU_CV 1557mW/1587mW VDD_SOC 1680mW/1671mW
04-18-2026 17:50:33 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,16%@1510,50%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 47% cpu@55.5C soc2@55C soc0@53.812C gpu@55.468C tj@55.843C soc1@54.843C VDD_IN 6560mW/6538mW VDD_CPU_GPU_CV 1597mW/1587mW VDD_SOC 1677mW/1671mW
04-18-2026 17:50:33 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@806,0%@806,72%@806,1%@806,0%@729,1%@729] GR3D_FREQ 60% cpu@55.531C soc2@54.968C soc0@53.843C gpu@55.593C tj@55.593C soc1@54.937C VDD_IN 6560mW/6539mW VDD_CPU_GPU_CV 1597mW/1588mW VDD_SOC 1677mW/1671mW
04-18-2026 17:50:34 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,1%@1510,70%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 56% cpu@55.625C soc2@54.968C soc0@54C gpu@55.093C tj@55.625C soc1@54.812C VDD_IN 6520mW/6539mW VDD_CPU_GPU_CV 1597mW/1588mW VDD_SOC 1680mW/1671mW
04-18-2026 17:50:34 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,0%@1510,69%@806,5%@806,0%@729,0%@729] GR3D_FREQ 68% cpu@55.5C soc2@55C soc0@54.031C gpu@55.625C tj@55.625C soc1@54.875C VDD_IN 6600mW/6540mW VDD_CPU_GPU_CV 1634mW/1589mW VDD_SOC 1677mW/1671mW
04-18-2026 17:50:35 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,1%@1510,73%@1510,0%@1510,1%@729,0%@729] GR3D_FREQ 59% cpu@55.531C soc2@54.968C soc0@54C gpu@55.093C tj@55.531C soc1@54.812C VDD_IN 6520mW/6539mW VDD_CPU_GPU_CV 1557mW/1588mW VDD_SOC 1680mW/1671mW
04-18-2026 17:50:35 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@1510,3%@1510,69%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 70% cpu@55.5C soc2@55.031C soc0@53.937C gpu@55.562C tj@55.406C soc1@54.906C VDD_IN 6560mW/6540mW VDD_CPU_GPU_CV 1597mW/1588mW VDD_SOC 1677mW/1672mW
04-18-2026 17:50:36 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@729,0%@729,69%@729,0%@729,0%@729,1%@729] GR3D_FREQ 54% cpu@55.531C soc2@54.937C soc0@54C gpu@55.187C tj@55.531C soc1@55.062C VDD_IN 6560mW/6540mW VDD_CPU_GPU_CV 1597mW/1588mW VDD_SOC 1677mW/1672mW
04-18-2026 17:50:36 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@1510,0%@1510,72%@1510,1%@1510,2%@729,2%@729] GR3D_FREQ 63% cpu@55.75C soc2@54.843C soc0@53.875C gpu@55.281C tj@55.75C soc1@54.968C VDD_IN 6520mW/6540mW VDD_CPU_GPU_CV 1597mW/1588mW VDD_SOC 1680mW/1672mW
04-18-2026 17:50:37 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@806,1%@806,70%@806,0%@806,1%@729,0%@729] GR3D_FREQ 59% cpu@55.843C soc2@54.968C soc0@53.843C gpu@55.093C tj@55.843C soc1@54.875C VDD_IN 6600mW/6541mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1680mW/1672mW
04-18-2026 17:50:37 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,1%@1510,69%@1510,1%@1510,1%@729,1%@729] GR3D_FREQ 50% cpu@55.593C soc2@54.968C soc0@53.937C gpu@55.281C tj@55.593C soc1@54.937C VDD_IN 6520mW/6540mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1680mW/1672mW
04-18-2026 17:50:38 RAM 5577/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [4%@729,0%@729,70%@729,1%@729,0%@729,1%@729] GR3D_FREQ 58% cpu@55.656C soc2@54.968C soc0@54.125C gpu@55.343C tj@55.656C soc1@54.906C VDD_IN 6560mW/6541mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1680mW/1672mW
04-18-2026 17:50:38 RAM 5576/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,1%@1510,70%@806,0%@806,1%@729,3%@729] GR3D_FREQ 69% cpu@55.562C soc2@55.093C soc0@54.031C gpu@55.25C tj@55.562C soc1@54.812C VDD_IN 6600mW/6542mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1677mW/1672mW
04-18-2026 17:50:39 RAM 5576/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@883,0%@883,72%@883,1%@883,1%@729,0%@729] GR3D_FREQ 65% cpu@55.562C soc2@55C soc0@54.093C gpu@55.343C tj@55.562C soc1@54.937C VDD_IN 6520mW/6541mW VDD_CPU_GPU_CV 1557mW/1588mW VDD_SOC 1680mW/1672mW
04-18-2026 17:50:39 RAM 5576/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@729,0%@729,69%@729,2%@729,0%@729,0%@729] GR3D_FREQ 47% cpu@55.531C soc2@54.906C soc0@54C gpu@55.406C tj@55.531C soc1@54.906C VDD_IN 6600mW/6542mW VDD_CPU_GPU_CV 1594mW/1589mW VDD_SOC 1677mW/1672mW
04-18-2026 17:50:40 RAM 5576/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,33%@1510,39%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 63% cpu@55.593C soc2@54.937C soc0@54C gpu@55.312C tj@55.593C soc1@54.843C VDD_IN 6560mW/6543mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1677mW/1673mW
04-18-2026 17:50:40 RAM 5576/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [5%@729,64%@729,5%@729,1%@729,1%@729,1%@729] GR3D_FREQ 52% cpu@55.875C soc2@54.968C soc0@54.062C gpu@55.406C tj@55.875C soc1@55.093C VDD_IN 6560mW/6543mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1677mW/1673mW
04-18-2026 17:50:41 RAM 5576/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,32%@1510,36%@1510,0%@1510,1%@729,0%@729] GR3D_FREQ 59% cpu@55.562C soc2@54.968C soc0@54C gpu@55.656C tj@55.656C soc1@55.093C VDD_IN 6560mW/6543mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1677mW/1673mW
04-18-2026 17:50:41 RAM 5576/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [2%@1510,19%@1510,52%@1510,0%@1510,1%@729,1%@729] GR3D_FREQ 45% cpu@55.781C soc2@54.968C soc0@53.906C gpu@55.437C tj@55.781C soc1@54.968C VDD_IN 6520mW/6543mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1680mW/1673mW
04-18-2026 17:50:42 RAM 5576/7620MB (lfb 21x4MB) SWAP 2963/3810MB (cached 26MB) CPU [0%@1510,21%@1510,48%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 49% cpu@55.875C soc2@55.062C soc0@53.875C gpu@55.593C tj@55.875C soc1@54.937C VDD_IN 6560mW/6543mW VDD_CPU_GPU_CV 1597mW/1589mW VDD_SOC 1677mW/1673mW
