04-18-2026 16:59:59 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 58% cpu@56.593C soc2@55.375C soc0@54.25C gpu@55.531C tj@56.593C soc1@55.531C VDD_IN 6988mW/6947mW VDD_CPU_GPU_CV 2073mW/2029mW VDD_SOC 1634mW/1635mW
04-18-2026 17:00:00 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@56.25C soc2@55.375C soc0@54.312C gpu@55.593C tj@56.25C soc1@55.531C VDD_IN 6988mW/6947mW VDD_CPU_GPU_CV 2033mW/2029mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:00 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,3%@729,3%@729,1%@1510,100%@1510] GR3D_FREQ 61% cpu@56.343C soc2@55.406C soc0@54.281C gpu@55.5C tj@56.343C soc1@55.468C VDD_IN 6948mW/6947mW VDD_CPU_GPU_CV 2033mW/2029mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:01 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@56.5C soc2@55.375C soc0@54.25C gpu@55.593C tj@56.5C soc1@55.343C VDD_IN 6988mW/6948mW VDD_CPU_GPU_CV 2070mW/2030mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:01 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 65% cpu@56.125C soc2@55.312C soc0@54.312C gpu@55.656C tj@56.718C soc1@55.468C VDD_IN 6988mW/6949mW VDD_CPU_GPU_CV 2073mW/2030mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:02 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,3%@1510,5%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 54% cpu@56.312C soc2@55.437C soc0@54.281C gpu@55.718C tj@56.312C soc1@55.312C VDD_IN 6988mW/6949mW VDD_CPU_GPU_CV 2033mW/2030mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:02 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 62% cpu@56.375C soc2@55.312C soc0@54.437C gpu@55.625C tj@56.375C soc1@55.25C VDD_IN 6948mW/6949mW VDD_CPU_GPU_CV 2033mW/2030mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:03 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 61% cpu@56.312C soc2@55.375C soc0@54.437C gpu@55.75C tj@56.312C soc1@55.312C VDD_IN 6988mW/6950mW VDD_CPU_GPU_CV 2033mW/2030mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:03 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 60% cpu@56.281C soc2@55.375C soc0@54.437C gpu@55.968C tj@56.281C soc1@55.25C VDD_IN 6988mW/6951mW VDD_CPU_GPU_CV 2073mW/2031mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:04 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [3%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@56.218C soc2@55.375C soc0@54.406C gpu@55.5C tj@56.218C soc1@55.25C VDD_IN 6988mW/6951mW VDD_CPU_GPU_CV 2070mW/2032mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:04 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 66% cpu@56.125C soc2@55.281C soc0@54.343C gpu@55.875C tj@56.125C soc1@55.218C VDD_IN 6948mW/6951mW VDD_CPU_GPU_CV 2033mW/2032mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:05 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@56.468C soc2@55.375C soc0@54.312C gpu@55.562C tj@56.312C soc1@55.25C VDD_IN 6988mW/6952mW VDD_CPU_GPU_CV 2033mW/2032mW VDD_SOC 1637mW/1635mW
04-18-2026 17:00:05 RAM 5297/7620MB (lfb 16x4MB) SWAP 2621/3810MB (cached 62MB) CPU [1%@1510,0%@1510,2%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 63% cpu@56.156C soc2@55.281C soc0@54.312C gpu@55.562C tj@56.156C soc1@55.093C VDD_IN 6988mW/6952mW VDD_CPU_GPU_CV 2033mW/2032mW VDD_SOC 1637mW/1635mW
