04-18-2026 13:11:08 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,67%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 66% cpu@57.343C soc2@56.75C soc0@55.656C gpu@57.281C tj@57.343C soc1@56.437C VDD_IN 7842mW/7693mW VDD_CPU_GPU_CV 2543mW/2438mW VDD_SOC 1791mW/1776mW
04-18-2026 13:11:09 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,0%@1510,66%@1510,1%@1510,1%@729,1%@729] GR3D_FREQ 72% cpu@57.25C soc2@56.843C soc0@55.687C gpu@57.375C tj@57.375C soc1@56.5C VDD_IN 7921mW/7699mW VDD_CPU_GPU_CV 2618mW/2442mW VDD_SOC 1791mW/1776mW
04-18-2026 13:11:09 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [29%@1510,0%@1510,43%@1510,0%@1510,1%@729,3%@729] GR3D_FREQ 62% cpu@57.187C soc2@56.781C soc0@55.656C gpu@57.218C tj@57.218C soc1@56.781C VDD_IN 7921mW/7705mW VDD_CPU_GPU_CV 2579mW/2446mW VDD_SOC 1791mW/1776mW
04-18-2026 13:11:10 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@883,1%@883,71%@883,1%@883,0%@729,0%@729] GR3D_FREQ 62% cpu@57.562C soc2@56.812C soc0@55.656C gpu@57.25C tj@57.562C soc1@56.656C VDD_IN 7802mW/7707mW VDD_CPU_GPU_CV 2503mW/2447mW VDD_SOC 1791mW/1777mW
04-18-2026 13:11:10 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [8%@1510,3%@1510,68%@1510,3%@1510,1%@729,0%@729] GR3D_FREQ 74% cpu@57.25C soc2@56.812C soc0@55.531C gpu@57.25C tj@57.531C soc1@56.562C VDD_IN 7881mW/7712mW VDD_CPU_GPU_CV 2579mW/2451mW VDD_SOC 1791mW/1777mW
04-18-2026 13:11:11 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [20%@883,0%@883,48%@883,0%@883,0%@729,1%@729] GR3D_FREQ 69% cpu@57.375C soc2@57C soc0@55.593C gpu@57.375C tj@57.375C soc1@56.625C VDD_IN 7921mW/7717mW VDD_CPU_GPU_CV 2618mW/2455mW VDD_SOC 1791mW/1777mW
04-18-2026 13:11:11 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [65%@960,8%@960,1%@960,0%@960,0%@729,1%@729] GR3D_FREQ 66% cpu@57.281C soc2@56.906C soc0@55.562C gpu@57.437C tj@57.562C soc1@56.531C VDD_IN 7802mW/7719mW VDD_CPU_GPU_CV 2503mW/2456mW VDD_SOC 1791mW/1778mW
04-18-2026 13:11:12 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1282,37%@1510,0%@1510,0%@1510,34%@960,1%@960] GR3D_FREQ 65% cpu@57.375C soc2@56.812C soc0@55.812C gpu@57.312C tj@57.375C soc1@56.625C VDD_IN 7802mW/7721mW VDD_CPU_GPU_CV 2543mW/2458mW VDD_SOC 1791mW/1778mW
04-18-2026 13:11:12 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,16%@806,54%@806] GR3D_FREQ 74% cpu@57.281C soc2@56.781C soc0@55.875C gpu@57.375C tj@57.375C soc1@56.531C VDD_IN 7961mW/7726mW VDD_CPU_GPU_CV 2618mW/2462mW VDD_SOC 1788mW/1778mW
04-18-2026 13:11:13 RAM 4465/7620MB (lfb 31x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,0%@883,70%@883] GR3D_FREQ 62% cpu@57.25C soc2@56.812C soc0@55.75C gpu@57.562C tj@57.562C soc1@56.5C VDD_IN 7842mW/7729mW VDD_CPU_GPU_CV 2543mW/2463mW VDD_SOC 1791mW/1779mW
