04-18-2026 15:04:54 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,67%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 64% cpu@57.343C soc2@56.937C soc0@55.75C gpu@57.531C tj@57.531C soc1@56.593C VDD_IN 8200mW/8065mW VDD_CPU_GPU_CV 2737mW/2631mW VDD_SOC 1867mW/1851mW
04-18-2026 15:04:55 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [3%@1510,0%@1510,64%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 68% cpu@57.531C soc2@56.906C soc0@55.843C gpu@57.75C tj@57.75C soc1@56.843C VDD_IN 8319mW/8072mW VDD_CPU_GPU_CV 2777mW/2635mW VDD_SOC 1867mW/1851mW
04-18-2026 15:04:55 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@1510,5%@1510,68%@1510,2%@1510,0%@729,0%@729] GR3D_FREQ 64% cpu@57.75C soc2@56.968C soc0@55.781C gpu@57.937C tj@57.937C soc1@56.718C VDD_IN 8160mW/8074mW VDD_CPU_GPU_CV 2698mW/2636mW VDD_SOC 1867mW/1852mW
04-18-2026 15:04:56 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@806,0%@806,67%@806,0%@806,0%@729,0%@729] GR3D_FREQ 60% cpu@57.406C soc2@56.906C soc0@55.718C gpu@57.656C tj@57.656C soc1@56.718C VDD_IN 8120mW/8076mW VDD_CPU_GPU_CV 2658mW/2637mW VDD_SOC 1867mW/1852mW
04-18-2026 15:04:56 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@1510,7%@1510,66%@729,2%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@57.562C soc2@56.968C soc0@55.781C gpu@57.906C tj@57.906C soc1@56.562C VDD_IN 8280mW/8081mW VDD_CPU_GPU_CV 2777mW/2640mW VDD_SOC 1867mW/1852mW
04-18-2026 15:04:57 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@1510,0%@1510,69%@1510,1%@1510,0%@729,1%@729] GR3D_FREQ 64% cpu@57.343C soc2@57.031C soc0@55.718C gpu@57.468C tj@57.593C soc1@56.687C VDD_IN 8200mW/8084mW VDD_CPU_GPU_CV 2737mW/2643mW VDD_SOC 1867mW/1853mW
04-18-2026 15:04:57 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [5%@729,1%@729,67%@729,1%@729,0%@729,0%@729] GR3D_FREQ 59% cpu@57.437C soc2@56.968C soc0@55.812C gpu@57.843C tj@57.843C soc1@56.593C VDD_IN 8160mW/8085mW VDD_CPU_GPU_CV 2698mW/2644mW VDD_SOC 1867mW/1853mW
04-18-2026 15:04:58 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [24%@1510,0%@1510,44%@1510,2%@1510,0%@729,1%@729] GR3D_FREQ 57% cpu@57.343C soc2@57C soc0@55.843C gpu@57.5C tj@57.5C soc1@56.593C VDD_IN 8200mW/8088mW VDD_CPU_GPU_CV 2737mW/2646mW VDD_SOC 1867mW/1853mW
04-18-2026 15:04:58 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [64%@1510,3%@1510,1%@1510,3%@729,1%@729,0%@729] GR3D_FREQ 69% cpu@57.406C soc2@57.031C soc0@55.906C gpu@57.625C tj@57.625C soc1@56.562C VDD_IN 8306mW/8093mW VDD_CPU_GPU_CV 2817mW/2650mW VDD_SOC 1867mW/1854mW
04-18-2026 15:04:59 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [43%@1233,5%@1510,1%@1510,1%@729,0%@806,29%@806] GR3D_FREQ 60% cpu@57.468C soc2@56.937C soc0@55.968C gpu@57.437C tj@57.468C soc1@56.531C VDD_IN 8120mW/8094mW VDD_CPU_GPU_CV 2658mW/2650mW VDD_SOC 1867mW/1854mW
04-18-2026 15:04:59 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,2%@1510,0%@1510,3%@1510,0%@806,66%@806] GR3D_FREQ 73% cpu@57.343C soc2@57C soc0@55.906C gpu@57.562C tj@57.562C soc1@56.531C VDD_IN 8160mW/8095mW VDD_CPU_GPU_CV 2698mW/2651mW VDD_SOC 1867mW/1854mW
04-18-2026 15:05:00 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,3%@729,0%@729,0%@729,1%@729,64%@729] GR3D_FREQ 71% cpu@57.468C soc2@56.968C soc0@55.812C gpu@57.562C tj@57.562C soc1@56.937C VDD_IN 8280mW/8099mW VDD_CPU_GPU_CV 2777mW/2654mW VDD_SOC 1867mW/1855mW
04-18-2026 15:05:00 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,46%@806,17%@806] GR3D_FREQ 72% cpu@57.593C soc2@56.906C soc0@55.906C gpu@57.718C tj@57.718C soc1@56.843C VDD_IN 8160mW/8100mW VDD_CPU_GPU_CV 2698mW/2655mW VDD_SOC 1867mW/1855mW
04-18-2026 15:05:01 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,68%@806,1%@806] GR3D_FREQ 73% cpu@57.718C soc2@56.875C soc0@55.812C gpu@57.656C tj@58.062C soc1@56.781C VDD_IN 8120mW/8101mW VDD_CPU_GPU_CV 2698mW/2656mW VDD_SOC 1867mW/1855mW
04-18-2026 15:05:01 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [7%@1510,1%@1510,1%@1510,0%@1510,65%@729,0%@729] GR3D_FREQ 79% cpu@57.437C soc2@56.937C soc0@55.906C gpu@57.812C tj@57.812C soc1@56.687C VDD_IN 8200mW/8103mW VDD_CPU_GPU_CV 2737mW/2657mW VDD_SOC 1867mW/1855mW
04-18-2026 15:05:02 RAM 5549/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,0%@1510,0%@729,1%@729,63%@729,0%@729] GR3D_FREQ 57% cpu@57.656C soc2@56.968C soc0@55.781C gpu@58C tj@58C soc1@56.75C VDD_IN 8240mW/8105mW VDD_CPU_GPU_CV 2777mW/2660mW VDD_SOC 1867mW/1855mW
04-18-2026 15:05:02 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,32%@806,36%@806] GR3D_FREQ 61% cpu@57.718C soc2@57.062C soc0@55.812C gpu@57.5C tj@57.718C soc1@56.718C VDD_IN 8120mW/8105mW VDD_CPU_GPU_CV 2698mW/2660mW VDD_SOC 1867mW/1856mW
04-18-2026 15:05:03 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,0%@1510,3%@729,0%@729,2%@729,68%@729] GR3D_FREQ 57% cpu@57.468C soc2@57.031C soc0@55.812C gpu@57.593C tj@57.593C soc1@56.781C VDD_IN 8160mW/8107mW VDD_CPU_GPU_CV 2698mW/2661mW VDD_SOC 1867mW/1856mW
04-18-2026 15:05:03 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [0%@1510,1%@729,0%@729,0%@729,0%@729,68%@729] GR3D_FREQ 71% cpu@57.625C soc2@57.031C soc0@55.812C gpu@57.75C tj@57.75C soc1@56.718C VDD_IN 8280mW/8110mW VDD_CPU_GPU_CV 2777mW/2663mW VDD_SOC 1867mW/1856mW
04-18-2026 15:05:04 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [2%@1510,0%@1510,0%@1510,1%@1510,0%@806,69%@806] GR3D_FREQ 61% cpu@57.593C soc2@56.968C soc0@55.906C gpu@57.562C tj@57.593C soc1@56.625C VDD_IN 8160mW/8111mW VDD_CPU_GPU_CV 2698mW/2664mW VDD_SOC 1867mW/1856mW
04-18-2026 15:05:04 RAM 5550/7620MB (lfb 10x4MB) SWAP 2560/3810MB (cached 6MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,3%@806,67%@806] GR3D_FREQ 64% cpu@57.468C soc2@56.968C soc0@55.937C gpu@57.656C tj@57.656C soc1@56.75C VDD_IN 8160mW/8111mW VDD_CPU_GPU_CV 2698mW/2665mW VDD_SOC 1867mW/1856mW
