04-18-2026 12:33:14 RAM 3987/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 53% cpu@55.625C soc2@55C soc0@54C gpu@55.25C tj@55.843C soc1@54.906C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:14 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,3%@1510,100%@1510] GR3D_FREQ 48% cpu@55.687C soc2@55.031C soc0@54.093C gpu@55.187C tj@55.687C soc1@54.812C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:15 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.781C soc2@54.875C soc0@53.937C gpu@55.25C tj@55.781C soc1@54.812C VDD_IN 6720mW/6680mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:15 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.656C soc2@54.937C soc0@53.937C gpu@55.375C tj@55.656C soc1@54.75C VDD_IN 6680mW/6680mW VDD_CPU_GPU_CV 1834mW/1836mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:16 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 48% cpu@55.75C soc2@54.906C soc0@53.937C gpu@54.968C tj@55.75C soc1@54.812C VDD_IN 6720mW/6681mW VDD_CPU_GPU_CV 1834mW/1836mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:16 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.75C soc2@54.843C soc0@54C gpu@55.125C tj@55.75C soc1@54.812C VDD_IN 6720mW/6682mW VDD_CPU_GPU_CV 1873mW/1837mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:17 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 50% cpu@55.75C soc2@54.875C soc0@53.875C gpu@55.156C tj@55.75C soc1@54.781C VDD_IN 6720mW/6683mW VDD_CPU_GPU_CV 1873mW/1838mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:17 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,5%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.781C soc2@54.906C soc0@53.906C gpu@55.062C tj@55.781C soc1@55.125C VDD_IN 6720mW/6683mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:18 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 46% cpu@55.75C soc2@54.937C soc0@53.937C gpu@55.25C tj@55.75C soc1@55.031C VDD_IN 6720mW/6684mW VDD_CPU_GPU_CV 1834mW/1838mW VDD_SOC 1597mW/1596mW
04-18-2026 12:33:18 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,2%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 44% cpu@56.031C soc2@54.843C soc0@53.937C gpu@55.375C tj@56.031C soc1@55C VDD_IN 6720mW/6685mW VDD_CPU_GPU_CV 1873mW/1838mW VDD_SOC 1597mW/1596mW
