04-18-2026 12:28:47 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 46% cpu@54.968C soc2@54.218C soc0@53.218C gpu@54.343C tj@54.968C soc1@54.375C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:48 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@729,3%@729,0%@1510,100%@1510] GR3D_FREQ 54% cpu@55.125C soc2@54.125C soc0@53.25C gpu@54.468C tj@55.125C soc1@54.25C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:48 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 52% cpu@55.343C soc2@54.125C soc0@53.187C gpu@54.593C tj@55.343C soc1@54.281C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:49 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.406C soc2@54.125C soc0@53.156C gpu@54.437C tj@55.406C soc1@54.343C VDD_IN 6680mW/6677mW VDD_CPU_GPU_CV 1834mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:49 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.062C soc2@54.187C soc0@53.25C gpu@54.593C tj@55.062C soc1@54.218C VDD_IN 6680mW/6678mW VDD_CPU_GPU_CV 1834mW/1836mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:50 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 47% cpu@55.281C soc2@54.218C soc0@53.187C gpu@54.75C tj@55.281C soc1@54.281C VDD_IN 6680mW/6678mW VDD_CPU_GPU_CV 1834mW/1836mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:50 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.25C soc2@54.312C soc0@53.187C gpu@54.375C tj@55.25C soc1@54.312C VDD_IN 6680mW/6678mW VDD_CPU_GPU_CV 1834mW/1836mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:51 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,3%@1510,3%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 56% cpu@55.156C soc2@54.281C soc0@53.156C gpu@54.437C tj@55.406C soc1@54.218C VDD_IN 6680mW/6678mW VDD_CPU_GPU_CV 1834mW/1836mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:51 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 55% cpu@55.25C soc2@54.312C soc0@53.187C gpu@54.593C tj@55.25C soc1@54.312C VDD_IN 6720mW/6679mW VDD_CPU_GPU_CV 1873mW/1837mW VDD_SOC 1597mW/1597mW
04-18-2026 12:28:52 RAM 3986/7620MB (lfb 40x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 51% cpu@55.343C soc2@54.375C soc0@53.187C gpu@54.718C tj@55.343C soc1@54.343C VDD_IN 6680mW/6679mW VDD_CPU_GPU_CV 1873mW/1838mW VDD_SOC 1597mW/1597mW
