04-18-2026 17:17:15 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,0%@729,0%@729,96%@1510,0%@1510] GR3D_FREQ 98% cpu@61.562C soc2@60.75C soc0@59.343C gpu@61.625C tj@61.625C soc1@59.968C VDD_IN 11217mW/11157mW VDD_CPU_GPU_CV 4590mW/4582mW VDD_SOC 2322mW/2310mW
04-18-2026 17:17:15 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,3%@1510,1%@729,1%@729,94%@1510,0%@1510] GR3D_FREQ 99% cpu@61.375C soc2@60.843C soc0@59.281C gpu@61.75C tj@61.75C soc1@59.968C VDD_IN 11217mW/11159mW VDD_CPU_GPU_CV 4629mW/4583mW VDD_SOC 2322mW/2310mW
04-18-2026 17:17:16 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,3%@729,3%@729,0%@729,96%@1510,1%@1510] GR3D_FREQ 98% cpu@61.437C soc2@60.812C soc0@59.312C gpu@61.843C tj@61.843C soc1@59.937C VDD_IN 11296mW/11162mW VDD_CPU_GPU_CV 4668mW/4585mW VDD_SOC 2318mW/2310mW
04-18-2026 17:17:16 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,3%@1510,2%@1510,0%@1510,94%@1510,0%@1510] GR3D_FREQ 97% cpu@61.531C soc2@60.843C soc0@59.406C gpu@62C tj@62C soc1@59.937C VDD_IN 11335mW/11165mW VDD_CPU_GPU_CV 4707mW/4588mW VDD_SOC 2318mW/2310mW
04-18-2026 17:17:17 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@729,1%@729,3%@729,94%@1510,0%@1510] GR3D_FREQ 97% cpu@61.218C soc2@60.875C soc0@59.5C gpu@61.562C tj@61.562C soc1@59.937C VDD_IN 11296mW/11168mW VDD_CPU_GPU_CV 4668mW/4589mW VDD_SOC 2322mW/2311mW
04-18-2026 17:17:17 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,3%@729,0%@729,96%@1510,1%@1510] GR3D_FREQ 88% cpu@61.406C soc2@60.812C soc0@59.437C gpu@62.062C tj@62.062C soc1@59.937C VDD_IN 11296mW/11171mW VDD_CPU_GPU_CV 4668mW/4591mW VDD_SOC 2322mW/2311mW
04-18-2026 17:17:18 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@1510,0%@1510,0%@729,0%@729,94%@1510,0%@1510] GR3D_FREQ 80% cpu@61.25C soc2@60.781C soc0@59.531C gpu@61.593C tj@61.593C soc1@60.031C VDD_IN 11296mW/11173mW VDD_CPU_GPU_CV 4668mW/4592mW VDD_SOC 2318mW/2311mW
04-18-2026 17:17:18 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,1%@1510,3%@729,0%@729,8%@1510,86%@1510] GR3D_FREQ 98% cpu@61.281C soc2@60.843C soc0@59.531C gpu@61.656C tj@61.656C soc1@59.937C VDD_IN 11335mW/11177mW VDD_CPU_GPU_CV 4668mW/4594mW VDD_SOC 2318mW/2311mW
04-18-2026 17:17:19 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,94%@1510] GR3D_FREQ 98% cpu@61.218C soc2@60.875C soc0@59.406C gpu@61.843C tj@61.843C soc1@59.968C VDD_IN 11335mW/11180mW VDD_CPU_GPU_CV 4668mW/4595mW VDD_SOC 2318mW/2311mW
04-18-2026 17:17:19 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,1%@1510,3%@1510,3%@1510,1%@1510,96%@1510] GR3D_FREQ 98% cpu@61.343C soc2@60.718C soc0@59.437C gpu@61.75C tj@61.75C soc1@59.906C VDD_IN 11256mW/11181mW VDD_CPU_GPU_CV 4629mW/4596mW VDD_SOC 2318mW/2311mW
04-18-2026 17:17:20 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,1%@1510,0%@729,1%@729,0%@1510,96%@1510] GR3D_FREQ 98% cpu@61.437C soc2@60.781C soc0@59.406C gpu@61.875C tj@61.875C soc1@60.218C VDD_IN 11256mW/11183mW VDD_CPU_GPU_CV 4629mW/4597mW VDD_SOC 2322mW/2312mW
04-18-2026 17:17:20 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@1510,0%@729,0%@729,0%@729,0%@1510,94%@1510] GR3D_FREQ 98% cpu@61.625C soc2@60.812C soc0@59.406C gpu@61.937C tj@61.937C soc1@60.125C VDD_IN 11217mW/11183mW VDD_CPU_GPU_CV 4629mW/4597mW VDD_SOC 2322mW/2312mW
04-18-2026 17:17:21 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,0%@1510,96%@1510] GR3D_FREQ 98% cpu@61.656C soc2@60.812C soc0@59.406C gpu@62.125C tj@62.125C soc1@60.125C VDD_IN 11217mW/11184mW VDD_CPU_GPU_CV 4629mW/4598mW VDD_SOC 2322mW/2312mW
04-18-2026 17:17:21 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [1%@1510,1%@1510,0%@729,0%@729,0%@1510,96%@1510] GR3D_FREQ 98% cpu@61.281C soc2@60.781C soc0@59.406C gpu@61.75C tj@61.75C soc1@60.156C VDD_IN 11217mW/11184mW VDD_CPU_GPU_CV 4629mW/4598mW VDD_SOC 2322mW/2312mW
04-18-2026 17:17:22 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [2%@1510,0%@1510,1%@729,0%@729,0%@1510,96%@1510] GR3D_FREQ 98% cpu@61.531C soc2@60.812C soc0@59.437C gpu@61.843C tj@61.843C soc1@60.125C VDD_IN 11217mW/11185mW VDD_CPU_GPU_CV 4629mW/4599mW VDD_SOC 2322mW/2312mW
04-18-2026 17:17:22 RAM 5411/7620MB (lfb 8x4MB) SWAP 2578/3810MB (cached 10MB) CPU [3%@1510,3%@1510,0%@729,3%@729,0%@1510,94%@1510] GR3D_FREQ 98% cpu@61.625C soc2@60.75C soc0@59.375C gpu@61.687C tj@61.843C soc1@60.093C VDD_IN 11217mW/11185mW VDD_CPU_GPU_CV 4668mW/4600mW VDD_SOC 2322mW/2312mW
