04-18-2026 18:34:22 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,1%@920,1%@729,3%@729,0%@1510,79%@1510] GR3D_FREQ 98% cpu@61.781C soc2@61.343C soc0@59.781C gpu@62.406C tj@62.406C soc1@60.468C VDD_IN 11571mW/11482mW VDD_CPU_GPU_CV 4817mW/4751mW VDD_SOC 2357mW/2346mW
04-18-2026 18:34:22 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@729,1%@729,0%@1510,76%@1510] GR3D_FREQ 74% cpu@61.875C soc2@61.281C soc0@59.875C gpu@62.593C tj@62.593C soc1@60.437C VDD_IN 11532mW/11483mW VDD_CPU_GPU_CV 4778mW/4752mW VDD_SOC 2357mW/2346mW
04-18-2026 18:34:23 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [5%@1510,1%@729,0%@729,1%@729,0%@1510,78%@1510] GR3D_FREQ 98% cpu@62.062C soc2@61.25C soc0@59.781C gpu@62.156C tj@62.156C soc1@60.437C VDD_IN 11532mW/11484mW VDD_CPU_GPU_CV 4817mW/4753mW VDD_SOC 2357mW/2346mW
04-18-2026 18:34:23 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@1510,78%@1510] GR3D_FREQ 87% cpu@61.718C soc2@61.187C soc0@59.812C gpu@62.218C tj@62.218C soc1@60.406C VDD_IN 11493mW/11484mW VDD_CPU_GPU_CV 4778mW/4754mW VDD_SOC 2357mW/2346mW
04-18-2026 18:34:24 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [1%@1510,1%@729,3%@729,2%@729,0%@1510,79%@1510] GR3D_FREQ 99% cpu@61.781C soc2@61.312C soc0@59.812C gpu@62.375C tj@62.375C soc1@60.468C VDD_IN 11532mW/11485mW VDD_CPU_GPU_CV 4817mW/4755mW VDD_SOC 2357mW/2346mW
04-18-2026 18:34:24 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,1%@1510,76%@1510] GR3D_FREQ 81% cpu@61.625C soc2@61.375C soc0@59.937C gpu@62.187C tj@62.187C soc1@60.375C VDD_IN 11532mW/11486mW VDD_CPU_GPU_CV 4817mW/4756mW VDD_SOC 2357mW/2347mW
04-18-2026 18:34:25 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [1%@1510,0%@879,1%@729,2%@729,0%@1420,76%@1420] GR3D_FREQ 98% cpu@61.625C soc2@61.312C soc0@59.968C gpu@62.343C tj@62.343C soc1@60.375C VDD_IN 11611mW/11488mW VDD_CPU_GPU_CV 4856mW/4758mW VDD_SOC 2357mW/2347mW
04-18-2026 18:34:25 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,0%@729,0%@729,3%@729,1%@1510,80%@1510] GR3D_FREQ 99% cpu@61.875C soc2@61.343C soc0@59.968C gpu@62.5C tj@62.5C soc1@60.5C VDD_IN 11631mW/11491mW VDD_CPU_GPU_CV 4856mW/4760mW VDD_SOC 2357mW/2347mW
04-18-2026 18:34:26 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [3%@1510,1%@1510,2%@1510,1%@1510,1%@1510,76%@1510] GR3D_FREQ 98% cpu@61.625C soc2@61.312C soc0@59.906C gpu@62.187C tj@62.187C soc1@60.375C VDD_IN 11650mW/11494mW VDD_CPU_GPU_CV 4856mW/4762mW VDD_SOC 2357mW/2347mW
04-18-2026 18:34:27 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,1%@1510,0%@1510,0%@1505,0%@1510,76%@1510] GR3D_FREQ 98% cpu@61.656C soc2@61.25C soc0@59.937C gpu@62.5C tj@62.5C soc1@60.375C VDD_IN 11631mW/11497mW VDD_CPU_GPU_CV 4896mW/4764mW VDD_SOC 2357mW/2347mW
04-18-2026 18:34:27 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@1510,80%@1510] GR3D_FREQ 98% cpu@62C soc2@61.406C soc0@60C gpu@62.218C tj@62.218C soc1@60.562C VDD_IN 11670mW/11500mW VDD_CPU_GPU_CV 4896mW/4767mW VDD_SOC 2357mW/2348mW
04-18-2026 18:34:28 RAM 5677/7620MB (lfb 5x4MB) SWAP 3241/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,1%@1510,76%@1510] GR3D_FREQ 71% cpu@61.718C soc2@61.343C soc0@59.875C gpu@62.375C tj@62.187C soc1@60.593C VDD_IN 11532mW/11501mW VDD_CPU_GPU_CV 4778mW/4767mW VDD_SOC 2357mW/2348mW
