04-18-2026 12:35:28 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,2%@1190,75%@1190] GR3D_FREQ 55% cpu@55.125C soc2@54.093C soc0@53.25C gpu@54.437C tj@55.125C soc1@54.312C VDD_IN 6089mW/6093mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1596mW
04-18-2026 12:35:28 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 48% cpu@55.281C soc2@54.093C soc0@53.187C gpu@54.468C tj@55.281C soc1@54.281C VDD_IN 6129mW/6094mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1596mW
04-18-2026 12:35:29 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,3%@1190,74%@1190] GR3D_FREQ 53% cpu@54.968C soc2@54.281C soc0@53.125C gpu@54.406C tj@54.968C soc1@54.25C VDD_IN 6089mW/6094mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:29 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@924,1%@729,0%@729,2%@1190,75%@1190] GR3D_FREQ 46% cpu@55C soc2@54.25C soc0@53.125C gpu@54.468C tj@55C soc1@54.281C VDD_IN 6129mW/6095mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:30 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [4%@1510,0%@1510,56%@1510,1%@1510,1%@729,17%@729] GR3D_FREQ 56% cpu@54.781C soc2@54.156C soc0@53.375C gpu@54.218C tj@54.781C soc1@54.093C VDD_IN 6089mW/6095mW VDD_CPU_GPU_CV 1320mW/1345mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:31 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,21%@1510,54%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 44% cpu@54.843C soc2@54.218C soc0@53.25C gpu@54.25C tj@54.843C soc1@54.156C VDD_IN 6089mW/6095mW VDD_CPU_GPU_CV 1320mW/1344mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:31 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,5%@1510,0%@1510,1%@1510,4%@1190,66%@1190] GR3D_FREQ 48% cpu@54.843C soc2@54.125C soc0@53.218C gpu@54.218C tj@54.843C soc1@54.093C VDD_IN 6089mW/6094mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:32 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,2%@1190,74%@1190] GR3D_FREQ 55% cpu@54.843C soc2@54.156C soc0@53.25C gpu@54.218C tj@54.843C soc1@54.187C VDD_IN 6089mW/6094mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:32 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,1%@1510,0%@1190,76%@1190] GR3D_FREQ 54% cpu@55.093C soc2@54.156C soc0@53.156C gpu@54.687C tj@55.093C soc1@54.343C VDD_IN 6089mW/6094mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1597mW
04-18-2026 12:35:33 RAM 4036/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,0%@1510,0%@1510,1%@1190,75%@1190] GR3D_FREQ 46% cpu@54.781C soc2@54.062C soc0@53.156C gpu@54.25C tj@54.781C soc1@54.312C VDD_IN 6129mW/6095mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1597mW
