04-18-2026 12:37:38 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,13%@1510,18%@1190,42%@1190] GR3D_FREQ 60% cpu@54.718C soc2@54.062C soc0@53.156C gpu@54.093C tj@54.718C soc1@54.093C VDD_IN 6089mW/6094mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:39 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@929,0%@729,0%@729,0%@1190,74%@1113] GR3D_FREQ 62% cpu@54.781C soc2@54.031C soc0@53.187C gpu@54.468C tj@54.781C soc1@54.093C VDD_IN 6089mW/6094mW VDD_CPU_GPU_CV 1360mW/1344mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:39 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@729,1%@729,0%@729,0%@1190,75%@1190] GR3D_FREQ 64% cpu@55.156C soc2@54C soc0@53.125C gpu@54.656C tj@55.156C soc1@54.281C VDD_IN 6089mW/6094mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:40 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,2%@1113,74%@1113] GR3D_FREQ 60% cpu@54.843C soc2@54C soc0@53.062C gpu@54.125C tj@54.843C soc1@54.312C VDD_IN 6129mW/6095mW VDD_CPU_GPU_CV 1360mW/1345mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:40 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,0%@1113,75%@1113] GR3D_FREQ 57% cpu@54.937C soc2@54.125C soc0@53.125C gpu@54.281C tj@54.937C soc1@54.25C VDD_IN 6089mW/6095mW VDD_CPU_GPU_CV 1360mW/1346mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:41 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,2%@1510,3%@1510,18%@1190,58%@1190] GR3D_FREQ 52% cpu@55.062C soc2@54C soc0@53.125C gpu@54.218C tj@55.062C soc1@54.187C VDD_IN 6129mW/6096mW VDD_CPU_GPU_CV 1360mW/1346mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:41 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1190,74%@1190] GR3D_FREQ 60% cpu@54.875C soc2@54.125C soc0@53.031C gpu@54.25C tj@54.875C soc1@54.125C VDD_IN 6129mW/6096mW VDD_CPU_GPU_CV 1360mW/1346mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:42 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,2%@1190,74%@1190] GR3D_FREQ 51% cpu@54.906C soc2@54.062C soc0@53.062C gpu@54.125C tj@54.906C soc1@54.062C VDD_IN 6129mW/6097mW VDD_CPU_GPU_CV 1360mW/1347mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:42 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@1190,74%@1190] GR3D_FREQ 66% cpu@54.75C soc2@54.125C soc0@53.25C gpu@54.281C tj@54.75C soc1@54.093C VDD_IN 6089mW/6097mW VDD_CPU_GPU_CV 1360mW/1347mW VDD_SOC 1602mW/1598mW
04-18-2026 12:37:43 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,0%@1510,0%@1510,0%@1190,75%@1190] GR3D_FREQ 54% cpu@54.812C soc2@54.062C soc0@53.187C gpu@54.281C tj@54.812C soc1@54.062C VDD_IN 6129mW/6098mW VDD_CPU_GPU_CV 1360mW/1347mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:43 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@729,3%@729,0%@729,1%@1190,75%@1190] GR3D_FREQ 66% cpu@54.687C soc2@54.093C soc0@53.156C gpu@54.468C tj@54.843C soc1@54.093C VDD_IN 6089mW/6097mW VDD_CPU_GPU_CV 1360mW/1347mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:44 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@1190,74%@1190] GR3D_FREQ 52% cpu@54.718C soc2@54.062C soc0@53.156C gpu@54.343C tj@54.718C soc1@53.937C VDD_IN 6129mW/6098mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:44 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,2%@1510,1%@1510,0%@1510,0%@1113,74%@1113] GR3D_FREQ 62% cpu@55C soc2@54.031C soc0@53.031C gpu@54.437C tj@55C soc1@54.312C VDD_IN 6129mW/6099mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1600mW/1598mW
04-18-2026 12:37:45 RAM 4030/7620MB (lfb 54x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,1%@1510,1%@1510,3%@1190,75%@1190] GR3D_FREQ 53% cpu@55.218C soc2@54.062C soc0@53.093C gpu@54.312C tj@55.218C soc1@54.187C VDD_IN 6129mW/6099mW VDD_CPU_GPU_CV 1360mW/1348mW VDD_SOC 1600mW/1598mW
