04-18-2026 13:06:33 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,98%@1510,0%@1510] GR3D_FREQ 72% cpu@60.062C soc2@59.062C soc0@57.75C gpu@59.875C tj@60.062C soc1@58.5C VDD_IN 10046mW/9940mW VDD_CPU_GPU_CV 4100mW/4044mW VDD_SOC 2053mW/2025mW
04-18-2026 13:06:33 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,1%@729,100%@1510,0%@1510] GR3D_FREQ 65% cpu@59.75C soc2@59.281C soc0@57.75C gpu@59.812C tj@59.812C soc1@58.593C VDD_IN 10046mW/9943mW VDD_CPU_GPU_CV 4021mW/4043mW VDD_SOC 2013mW/2024mW
04-18-2026 13:06:34 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,100%@1510,0%@1510] GR3D_FREQ 89% cpu@59.843C soc2@59.156C soc0@57.718C gpu@59.968C tj@59.968C soc1@58.562C VDD_IN 10006mW/9945mW VDD_CPU_GPU_CV 4060mW/4044mW VDD_SOC 2013mW/2024mW
04-18-2026 13:06:34 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,2%@729,0%@729,98%@1510,0%@1510] GR3D_FREQ 63% cpu@59.718C soc2@59.218C soc0@57.781C gpu@60.156C tj@60.156C soc1@58.562C VDD_IN 9967mW/9945mW VDD_CPU_GPU_CV 4093mW/4045mW VDD_SOC 2053mW/2025mW
04-18-2026 13:06:35 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@890,1%@729,1%@729,100%@1510,1%@1510] GR3D_FREQ 79% cpu@59.781C soc2@59.093C soc0@57.906C gpu@60C tj@60C soc1@58.437C VDD_IN 9888mW/9944mW VDD_CPU_GPU_CV 4093mW/4046mW VDD_SOC 2056mW/2026mW
04-18-2026 13:06:35 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@729,1%@729,1%@729,98%@1510,0%@1510] GR3D_FREQ 79% cpu@59.812C soc2@59.125C soc0@58C gpu@60C tj@60C soc1@58.437C VDD_IN 10085mW/9947mW VDD_CPU_GPU_CV 4093mW/4047mW VDD_SOC 2053mW/2026mW
04-18-2026 13:06:36 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@729,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 75% cpu@59.75C soc2@59.156C soc0@57.968C gpu@60.312C tj@60.312C soc1@58.406C VDD_IN 10164mW/9952mW VDD_CPU_GPU_CV 4132mW/4049mW VDD_SOC 2053mW/2027mW
04-18-2026 13:06:36 RAM 4426/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,1%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 78% cpu@59.781C soc2@59.093C soc0@57.906C gpu@59.906C tj@59.906C soc1@58.468C VDD_IN 10125mW/9956mW VDD_CPU_GPU_CV 4100mW/4050mW VDD_SOC 2053mW/2027mW
04-18-2026 13:06:37 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,98%@1510,0%@1510] GR3D_FREQ 76% cpu@59.718C soc2@59.093C soc0@57.843C gpu@59.968C tj@59.968C soc1@58.437C VDD_IN 10006mW/9957mW VDD_CPU_GPU_CV 4139mW/4052mW VDD_SOC 2053mW/2028mW
04-18-2026 13:06:37 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,0%@729,100%@1510,0%@1510] GR3D_FREQ 78% cpu@59.718C soc2@59.125C soc0@57.875C gpu@60.093C tj@60.093C soc1@58.75C VDD_IN 10006mW/9958mW VDD_CPU_GPU_CV 4054mW/4052mW VDD_SOC 2053mW/2029mW
