04-18-2026 13:03:18 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 78% cpu@56.906C soc2@56.156C soc0@55.062C gpu@57.156C tj@57.156C soc1@55.625C VDD_IN 10006mW/9941mW VDD_CPU_GPU_CV 4060mW/4070mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:19 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,0%@1510,1%@1510,98%@1510] GR3D_FREQ 84% cpu@56.875C soc2@56.281C soc0@55C gpu@57.187C tj@57.187C soc1@55.718C VDD_IN 9967mW/9942mW VDD_CPU_GPU_CV 4060mW/4070mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:19 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@1510,100%@1510] GR3D_FREQ 66% cpu@56.906C soc2@56.312C soc0@55C gpu@57.156C tj@57.156C soc1@55.718C VDD_IN 9967mW/9943mW VDD_CPU_GPU_CV 4021mW/4069mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:20 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@729,1%@729,1%@1510,98%@1510] GR3D_FREQ 70% cpu@57.218C soc2@56.343C soc0@55.062C gpu@57.25C tj@57.25C soc1@56.062C VDD_IN 9888mW/9941mW VDD_CPU_GPU_CV 4060mW/4069mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:20 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@729,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 66% cpu@57.343C soc2@56.375C soc0@55.031C gpu@57.5C tj@57.5C soc1@55.968C VDD_IN 10046mW/9944mW VDD_CPU_GPU_CV 4139mW/4070mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:21 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@729,1%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 75% cpu@56.968C soc2@56.281C soc0@55C gpu@57.781C tj@57.781C soc1@56.031C VDD_IN 10085mW/9947mW VDD_CPU_GPU_CV 4178mW/4073mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:21 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@729,0%@1510,100%@1510] GR3D_FREQ 68% cpu@57.25C soc2@56.468C soc0@55.062C gpu@57.25C tj@57.25C soc1@55.937C VDD_IN 10006mW/9949mW VDD_CPU_GPU_CV 4132mW/4074mW VDD_SOC 2013mW/2014mW
04-18-2026 13:03:22 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@729,1%@729,1%@729,1%@1510,100%@1510] GR3D_FREQ 66% cpu@57.375C soc2@56.343C soc0@55.125C gpu@57.406C tj@57.406C soc1@55.968C VDD_IN 9927mW/9948mW VDD_CPU_GPU_CV 4100mW/4075mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:22 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,3%@1510,0%@1510,1%@1510,98%@1510] GR3D_FREQ 87% cpu@57.406C soc2@56.531C soc0@55.093C gpu@57.343C tj@57.406C soc1@56.031C VDD_IN 9927mW/9948mW VDD_CPU_GPU_CV 4060mW/4074mW VDD_SOC 2017mW/2014mW
04-18-2026 13:03:23 RAM 4427/7620MB (lfb 32x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 70% cpu@57.218C soc2@56.468C soc0@55.281C gpu@57.656C tj@57.656C soc1@56C VDD_IN 9888mW/9946mW VDD_CPU_GPU_CV 4060mW/4074mW VDD_SOC 2017mW/2014mW
