04-18-2026 14:47:41 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@912,0%@729,3%@729,0%@729,62%@729] GR3D_FREQ 72% cpu@56.687C soc2@56.25C soc0@55.218C gpu@56.625C tj@56.687C soc1@56.281C VDD_IN 7575mW/7476mW VDD_CPU_GPU_CV 2305mW/2263mW VDD_SOC 1751mW/1747mW
04-18-2026 14:47:41 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,0%@1510,0%@1510,0%@1510,0%@729,63%@729] GR3D_FREQ 59% cpu@56.875C soc2@56.25C soc0@55.187C gpu@56.687C tj@56.843C soc1@56.125C VDD_IN 7456mW/7476mW VDD_CPU_GPU_CV 2269mW/2263mW VDD_SOC 1754mW/1748mW
04-18-2026 14:47:42 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,3%@729,61%@729] GR3D_FREQ 72% cpu@56.968C soc2@56.187C soc0@55.125C gpu@57.25C tj@56.968C soc1@56.062C VDD_IN 7575mW/7478mW VDD_CPU_GPU_CV 2344mW/2265mW VDD_SOC 1751mW/1748mW
04-18-2026 14:47:42 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,1%@729,62%@729] GR3D_FREQ 58% cpu@56.781C soc2@56.375C soc0@55.156C gpu@56.718C tj@57.062C soc1@56.156C VDD_IN 7535mW/7479mW VDD_CPU_GPU_CV 2305mW/2266mW VDD_SOC 1751mW/1748mW
04-18-2026 14:47:43 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,0%@1510,3%@1510,1%@1510,0%@729,62%@729] GR3D_FREQ 59% cpu@56.906C soc2@56.343C soc0@55.25C gpu@56.812C tj@56.906C soc1@56.093C VDD_IN 7495mW/7479mW VDD_CPU_GPU_CV 2265mW/2266mW VDD_SOC 1754mW/1748mW
04-18-2026 14:47:43 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,62%@729] GR3D_FREQ 73% cpu@56.75C soc2@56.343C soc0@55.312C gpu@56.75C tj@56.906C soc1@56.093C VDD_IN 7535mW/7480mW VDD_CPU_GPU_CV 2305mW/2267mW VDD_SOC 1751mW/1748mW
04-18-2026 14:47:44 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,0%@1510,0%@729,3%@729,0%@729,63%@729] GR3D_FREQ 64% cpu@56.75C soc2@56.312C soc0@55.25C gpu@56.718C tj@56.75C soc1@55.937C VDD_IN 7535mW/7482mW VDD_CPU_GPU_CV 2265mW/2267mW VDD_SOC 1751mW/1748mW
04-18-2026 14:47:44 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [5%@1510,0%@1510,0%@729,0%@729,0%@729,62%@729] GR3D_FREQ 64% cpu@56.781C soc2@56.281C soc0@55.25C gpu@56.781C tj@56.781C soc1@56C VDD_IN 7495mW/7482mW VDD_CPU_GPU_CV 2265mW/2266mW VDD_SOC 1751mW/1748mW
04-18-2026 14:47:45 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,1%@1509,0%@729,0%@729,0%@729,62%@729] GR3D_FREQ 58% cpu@56.75C soc2@56.281C soc0@55.25C gpu@57.031C tj@57.031C soc1@56.031C VDD_IN 7456mW/7481mW VDD_CPU_GPU_CV 2229mW/2266mW VDD_SOC 1754mW/1748mW
04-18-2026 14:47:45 RAM 5430/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@729,60%@729] GR3D_FREQ 59% cpu@56.781C soc2@56.312C soc0@55.187C gpu@56.812C tj@56.812C soc1@56.062C VDD_IN 7575mW/7483mW VDD_CPU_GPU_CV 2344mW/2267mW VDD_SOC 1751mW/1748mW
04-18-2026 14:47:46 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@1510,3%@1510,0%@729,0%@729,60%@729] GR3D_FREQ 72% cpu@56.812C soc2@56.281C soc0@55.187C gpu@56.843C tj@56.843C soc1@56.312C VDD_IN 7575mW/7485mW VDD_CPU_GPU_CV 2305mW/2268mW VDD_SOC 1791mW/1749mW
04-18-2026 14:47:46 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,2%@729,1%@729,1%@729,62%@729] GR3D_FREQ 64% cpu@57.187C soc2@56.25C soc0@55.218C gpu@56.687C tj@57.187C soc1@56.312C VDD_IN 7456mW/7484mW VDD_CPU_GPU_CV 2229mW/2267mW VDD_SOC 1754mW/1749mW
04-18-2026 14:47:47 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@729,60%@729] GR3D_FREQ 69% cpu@56.843C soc2@56.406C soc0@55.218C gpu@56.781C tj@56.843C soc1@56.312C VDD_IN 7575mW/7486mW VDD_CPU_GPU_CV 2305mW/2268mW VDD_SOC 1791mW/1750mW
04-18-2026 14:47:47 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,3%@1510,0%@729,0%@729,0%@729,62%@729] GR3D_FREQ 64% cpu@56.812C soc2@56.312C soc0@55.125C gpu@56.812C tj@56.812C soc1@56.281C VDD_IN 7535mW/7487mW VDD_CPU_GPU_CV 2305mW/2268mW VDD_SOC 1751mW/1750mW
04-18-2026 14:47:48 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@1510,1%@729,1%@729,0%@729,62%@729] GR3D_FREQ 64% cpu@57.093C soc2@56.312C soc0@55.25C gpu@56.968C tj@57.093C soc1@56.281C VDD_IN 7495mW/7487mW VDD_CPU_GPU_CV 2269mW/2268mW VDD_SOC 1754mW/1750mW
04-18-2026 14:47:48 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,0%@1510,0%@729,0%@729,0%@729,62%@729] GR3D_FREQ 63% cpu@57.281C soc2@56.25C soc0@55.156C gpu@57.218C tj@57.281C soc1@56.187C VDD_IN 7535mW/7488mW VDD_CPU_GPU_CV 2305mW/2269mW VDD_SOC 1751mW/1750mW
04-18-2026 14:47:49 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@918,3%@729,1%@729,0%@729,61%@729] GR3D_FREQ 60% cpu@56.875C soc2@56.281C soc0@55.187C gpu@56.718C tj@56.875C soc1@56.25C VDD_IN 7535mW/7488mW VDD_CPU_GPU_CV 2265mW/2269mW VDD_SOC 1751mW/1750mW
04-18-2026 14:47:49 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,0%@1510,2%@1510,1%@1510,0%@729,62%@729] GR3D_FREQ 59% cpu@57C soc2@56.218C soc0@55.25C gpu@56.718C tj@57C soc1@56.187C VDD_IN 7535mW/7489mW VDD_CPU_GPU_CV 2265mW/2269mW VDD_SOC 1751mW/1750mW
04-18-2026 14:47:50 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,1%@1510,3%@729,0%@729,0%@729,66%@729] GR3D_FREQ 58% cpu@57.125C soc2@56.25C soc0@55.156C gpu@56.906C tj@57.125C soc1@56.187C VDD_IN 7495mW/7489mW VDD_CPU_GPU_CV 2269mW/2269mW VDD_SOC 1754mW/1750mW
04-18-2026 14:47:50 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [2%@1510,1%@1510,2%@1510,0%@1510,1%@729,58%@729] GR3D_FREQ 63% cpu@56.875C soc2@56.25C soc0@55.156C gpu@57.093C tj@57.281C soc1@56.093C VDD_IN 7615mW/7491mW VDD_CPU_GPU_CV 2344mW/2270mW VDD_SOC 1751mW/1750mW
04-18-2026 14:47:51 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [1%@1510,0%@1510,1%@729,0%@729,0%@729,62%@729] GR3D_FREQ 72% cpu@56.937C soc2@56.375C soc0@55.187C gpu@57.031C tj@56.937C soc1@56.156C VDD_IN 7575mW/7493mW VDD_CPU_GPU_CV 2305mW/2271mW VDD_SOC 1751mW/1750mW
04-18-2026 14:47:52 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@729,64%@729] GR3D_FREQ 59% cpu@57C soc2@56.468C soc0@55.125C gpu@57.062C tj@57.062C soc1@56.031C VDD_IN 7456mW/7492mW VDD_CPU_GPU_CV 2269mW/2271mW VDD_SOC 1754mW/1750mW
04-18-2026 14:47:52 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@729,61%@729] GR3D_FREQ 71% cpu@56.843C soc2@56.375C soc0@55.281C gpu@56.75C tj@56.843C soc1@56.125C VDD_IN 7575mW/7493mW VDD_CPU_GPU_CV 2344mW/2272mW VDD_SOC 1751mW/1750mW
04-18-2026 14:47:53 RAM 5431/7620MB (lfb 13x4MB) SWAP 2462/3810MB (cached 19MB) CPU [3%@1510,1%@1510,5%@1510,1%@1510,0%@729,59%@729] GR3D_FREQ 58% cpu@56.843C soc2@56.343C soc0@55.375C gpu@56.781C tj@56.843C soc1@56.156C VDD_IN 7575mW/7494mW VDD_CPU_GPU_CV 2305mW/2272mW VDD_SOC 1751mW/1750mW
