04-18-2026 14:43:23 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@1510,3%@1510,1%@1510,62%@729,0%@729] GR3D_FREQ 72% cpu@55.906C soc2@55.281C soc0@54.281C gpu@55.937C tj@55.843C soc1@55.062C VDD_IN 7535mW/7481mW VDD_CPU_GPU_CV 2305mW/2264mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:24 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,2%@1510,1%@1510,59%@729,0%@729] GR3D_FREQ 64% cpu@55.812C soc2@55.281C soc0@54.281C gpu@56.156C tj@56.156C soc1@55.375C VDD_IN 7535mW/7483mW VDD_CPU_GPU_CV 2305mW/2265mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:24 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [7%@1510,1%@1510,0%@1510,0%@1510,61%@729,0%@729] GR3D_FREQ 63% cpu@56.125C soc2@55.218C soc0@54.187C gpu@55.75C tj@56.125C soc1@55.343C VDD_IN 7535mW/7484mW VDD_CPU_GPU_CV 2305mW/2266mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:25 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,5%@1510,0%@1510,65%@729,1%@729] GR3D_FREQ 58% cpu@56.312C soc2@55.25C soc0@54.187C gpu@56.093C tj@56.312C soc1@55.25C VDD_IN 7456mW/7483mW VDD_CPU_GPU_CV 2229mW/2265mW VDD_SOC 1754mW/1750mW
04-18-2026 14:43:25 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,0%@1510,3%@1510,0%@1510,58%@729,1%@729] GR3D_FREQ 64% cpu@56.031C soc2@55.468C soc0@54.218C gpu@55.812C tj@56.031C soc1@55.218C VDD_IN 7615mW/7486mW VDD_CPU_GPU_CV 2344mW/2267mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:26 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,62%@729,1%@729] GR3D_FREQ 67% cpu@56.093C soc2@55.375C soc0@54.125C gpu@55.906C tj@56.093C soc1@55.187C VDD_IN 7535mW/7486mW VDD_CPU_GPU_CV 2305mW/2267mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:26 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@1510,3%@1510,63%@729,0%@729] GR3D_FREQ 64% cpu@55.812C soc2@55.375C soc0@54.468C gpu@55.781C tj@55.812C soc1@55.25C VDD_IN 7456mW/7486mW VDD_CPU_GPU_CV 2269mW/2267mW VDD_SOC 1754mW/1750mW
04-18-2026 14:43:27 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,62%@729,0%@729] GR3D_FREQ 72% cpu@56C soc2@55.375C soc0@54.375C gpu@55.906C tj@56C soc1@55.218C VDD_IN 7575mW/7487mW VDD_CPU_GPU_CV 2305mW/2268mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:27 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@1510,2%@1510,3%@1510,52%@729,11%@729] GR3D_FREQ 71% cpu@55.906C soc2@55.375C soc0@54.406C gpu@56.031C tj@56.031C soc1@55.093C VDD_IN 7575mW/7489mW VDD_CPU_GPU_CV 2344mW/2269mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:28 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [5%@1510,3%@729,0%@729,0%@729,0%@729,63%@729] GR3D_FREQ 64% cpu@55.906C soc2@55.375C soc0@54.312C gpu@55.875C tj@55.906C soc1@55.125C VDD_IN 7456mW/7488mW VDD_CPU_GPU_CV 2269mW/2269mW VDD_SOC 1754mW/1750mW
04-18-2026 14:43:28 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@1510,0%@729,0%@729,0%@729,61%@729] GR3D_FREQ 71% cpu@56.312C soc2@55.406C soc0@54.312C gpu@56C tj@56C soc1@55.156C VDD_IN 7535mW/7489mW VDD_CPU_GPU_CV 2305mW/2270mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:29 RAM 5407/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@1510,0%@729,0%@729,0%@729,59%@729] GR3D_FREQ 59% cpu@55.875C soc2@55.437C soc0@54.343C gpu@56.062C tj@56.062C soc1@55.218C VDD_IN 7535mW/7490mW VDD_CPU_GPU_CV 2305mW/2271mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:29 RAM 5409/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [2%@1510,0%@1510,5%@729,0%@729,0%@729,63%@729] GR3D_FREQ 70% cpu@55.906C soc2@55.312C soc0@54.312C gpu@56.218C tj@56.218C soc1@55.406C VDD_IN 7535mW/7491mW VDD_CPU_GPU_CV 2265mW/2271mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:30 RAM 5409/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,1%@874,1%@729,0%@729,0%@729,64%@729] GR3D_FREQ 64% cpu@56.187C soc2@55.375C soc0@54.343C gpu@55.75C tj@56.187C soc1@55.5C VDD_IN 7495mW/7491mW VDD_CPU_GPU_CV 2265mW/2270mW VDD_SOC 1754mW/1750mW
04-18-2026 14:43:30 RAM 5409/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@1510,5%@729,1%@729,1%@729,60%@729] GR3D_FREQ 72% cpu@56.312C soc2@55.468C soc0@54.375C gpu@55.937C tj@56.312C soc1@55.375C VDD_IN 7615mW/7493mW VDD_CPU_GPU_CV 2344mW/2272mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:31 RAM 5409/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [3%@1510,0%@1497,0%@729,0%@729,1%@729,62%@729] GR3D_FREQ 71% cpu@56.031C soc2@55.343C soc0@54.343C gpu@56.062C tj@56.062C soc1@55.437C VDD_IN 7535mW/7493mW VDD_CPU_GPU_CV 2305mW/2272mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:31 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [0%@1510,1%@1510,0%@729,0%@729,3%@729,64%@729] GR3D_FREQ 64% cpu@56.125C soc2@55.343C soc0@54.312C gpu@56.156C tj@56.156C soc1@55.468C VDD_IN 7456mW/7493mW VDD_CPU_GPU_CV 2269mW/2272mW VDD_SOC 1754mW/1750mW
04-18-2026 14:43:32 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [3%@1510,0%@1510,3%@1510,0%@1510,0%@729,61%@729] GR3D_FREQ 72% cpu@56.156C soc2@55.343C soc0@54.25C gpu@56.125C tj@56.156C soc1@55.281C VDD_IN 7575mW/7494mW VDD_CPU_GPU_CV 2305mW/2273mW VDD_SOC 1751mW/1750mW
04-18-2026 14:43:32 RAM 5408/7620MB (lfb 18x4MB) SWAP 2467/3810MB (cached 19MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@729,62%@729] GR3D_FREQ 63% cpu@56.312C soc2@55.437C soc0@54.25C gpu@56.187C tj@56.312C soc1@55.343C VDD_IN 7535mW/7495mW VDD_CPU_GPU_CV 2305mW/2273mW VDD_SOC 1751mW/1750mW
