04-18-2026 18:06:13 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [20%@960,48%@960,8%@960,1%@960,0%@729,0%@729] GR3D_FREQ 64% cpu@54.718C soc2@54.125C soc0@53.031C gpu@54.562C tj@54.718C soc1@54C VDD_IN 5929mW/5959mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:14 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [7%@883,72%@883,3%@883,1%@883,0%@729,0%@729] GR3D_FREQ 72% cpu@54.656C soc2@54.062C soc0@53.25C gpu@54.343C tj@54.656C soc1@54C VDD_IN 5969mW/5960mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:14 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,17%@1510,2%@1510,0%@1510,4%@960,46%@960] GR3D_FREQ 75% cpu@54.593C soc2@54.093C soc0@53.156C gpu@54.625C tj@54.781C soc1@54.062C VDD_IN 5969mW/5960mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:15 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1510,0%@1510,1%@1510,0%@1510,1%@960,73%@960] GR3D_FREQ 73% cpu@54.625C soc2@54C soc0@53.125C gpu@54.125C tj@54.625C soc1@53.968C VDD_IN 5969mW/5960mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:15 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,72%@883] GR3D_FREQ 60% cpu@54.968C soc2@54.093C soc0@53.125C gpu@54.468C tj@54.687C soc1@54C VDD_IN 5969mW/5960mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:16 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [2%@1510,1%@1510,1%@1510,1%@1510,0%@883,71%@883] GR3D_FREQ 51% cpu@54.625C soc2@54.062C soc0@53.125C gpu@54.093C tj@54.625C soc1@54.25C VDD_IN 5969mW/5960mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:16 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,5%@1510,3%@1510,0%@960,74%@960] GR3D_FREQ 65% cpu@54.875C soc2@54.031C soc0@53.093C gpu@54.156C tj@54.875C soc1@54.187C VDD_IN 5969mW/5961mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:17 RAM 5387/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [3%@1510,0%@729,1%@729,1%@729,1%@806,72%@806] GR3D_FREQ 59% cpu@54.906C soc2@54C soc0@53.125C gpu@54.312C tj@54.906C soc1@54.218C VDD_IN 5969mW/5961mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:17 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [0%@1510,0%@1510,1%@1510,1%@1510,2%@883,72%@883] GR3D_FREQ 52% cpu@55.125C soc2@54.031C soc0@53.062C gpu@54.156C tj@55.125C soc1@54.125C VDD_IN 5969mW/5961mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
04-18-2026 18:06:18 RAM 5388/7620MB (lfb 7x4MB) SWAP 3062/3810MB (cached 16MB) CPU [1%@1510,0%@1510,0%@1510,3%@1510,2%@960,72%@960] GR3D_FREQ 54% cpu@54.687C soc2@54.125C soc0@53C gpu@54.218C tj@54.687C soc1@54.062C VDD_IN 5969mW/5961mW VDD_CPU_GPU_CV 1280mW/1276mW VDD_SOC 1562mW/1560mW
