04-18-2026 13:45:42 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 87% cpu@58.968C soc2@58.375C soc0@57.062C gpu@59.156C tj@59.156C soc1@57.781C VDD_IN 9468mW/9401mW VDD_CPU_GPU_CV 3790mW/3714mW VDD_SOC 1938mW/1931mW
04-18-2026 13:45:42 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,2%@1510,5%@729,1%@729,3%@729,53%@729] GR3D_FREQ 82% cpu@59.031C soc2@58.343C soc0@57.093C gpu@59.593C tj@59.593C soc1@58.031C VDD_IN 9547mW/9403mW VDD_CPU_GPU_CV 3830mW/3716mW VDD_SOC 1977mW/1932mW
04-18-2026 13:45:43 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@729,54%@729] GR3D_FREQ 78% cpu@58.718C soc2@58.343C soc0@57.062C gpu@59.093C tj@59.093C soc1@58C VDD_IN 9507mW/9405mW VDD_CPU_GPU_CV 3790mW/3717mW VDD_SOC 1938mW/1932mW
04-18-2026 13:45:43 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,1%@1510,3%@1510,3%@1510,0%@729,53%@729] GR3D_FREQ 77% cpu@58.875C soc2@58.312C soc0@57.125C gpu@59.187C tj@59.187C soc1@57.906C VDD_IN 9507mW/9407mW VDD_CPU_GPU_CV 3790mW/3719mW VDD_SOC 1977mW/1933mW
04-18-2026 13:45:44 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,15%@729,38%@729] GR3D_FREQ 77% cpu@58.968C soc2@58.437C soc0@57.125C gpu@59.125C tj@59.125C soc1@57.812C VDD_IN 9468mW/9408mW VDD_CPU_GPU_CV 3790mW/3720mW VDD_SOC 1938mW/1933mW
04-18-2026 13:45:44 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,0%@729,52%@729] GR3D_FREQ 89% cpu@58.687C soc2@58.437C soc0@57.062C gpu@59.187C tj@59.187C soc1@57.812C VDD_IN 9507mW/9410mW VDD_CPU_GPU_CV 3790mW/3721mW VDD_SOC 1977mW/1933mW
04-18-2026 13:45:45 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@1510,0%@1510,0%@729,54%@729] GR3D_FREQ 78% cpu@58.843C soc2@58.468C soc0@57.125C gpu@59.375C tj@59.375C soc1@57.812C VDD_IN 9507mW/9412mW VDD_CPU_GPU_CV 3790mW/3722mW VDD_SOC 1938mW/1933mW
04-18-2026 13:45:45 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,0%@729,55%@729] GR3D_FREQ 77% cpu@58.656C soc2@58.5C soc0@57.125C gpu@59.187C tj@59.187C soc1@57.843C VDD_IN 9547mW/9414mW VDD_CPU_GPU_CV 3830mW/3724mW VDD_SOC 1938mW/1934mW
04-18-2026 13:45:46 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,1%@1510,0%@729,52%@729] GR3D_FREQ 75% cpu@58.75C soc2@58.343C soc0@57.281C gpu@59.375C tj@59.375C soc1@57.937C VDD_IN 9507mW/9416mW VDD_CPU_GPU_CV 3790mW/3725mW VDD_SOC 1938mW/1934mW
04-18-2026 13:45:47 RAM 5690/7620MB (lfb 10x4MB) SWAP 661/3810MB (cached 0MB) CPU [1%@1510,1%@1510,3%@1510,1%@1510,0%@729,54%@729] GR3D_FREQ 77% cpu@58.718C soc2@58.468C soc0@57.156C gpu@59.218C tj@59.437C soc1@57.75C VDD_IN 9547mW/9418mW VDD_CPU_GPU_CV 3790mW/3726mW VDD_SOC 1977mW/1934mW
