04-18-2026 16:19:04 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [5%@1510,67%@1510,0%@1510,0%@1510,2%@729,0%@729] GR3D_FREQ 72% cpu@56.687C soc2@55.843C soc0@54.875C gpu@56.281C tj@56.687C soc1@55.937C VDD_IN 7416mW/7332mW VDD_CPU_GPU_CV 2149mW/2093mW VDD_SOC 1794mW/1774mW
04-18-2026 16:19:04 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,64%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 57% cpu@56.656C soc2@55.968C soc0@54.875C gpu@56.562C tj@56.656C soc1@55.812C VDD_IN 7456mW/7334mW VDD_CPU_GPU_CV 2189mW/2095mW VDD_SOC 1794mW/1774mW
04-18-2026 16:19:05 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,67%@1510,2%@1510,3%@1510,2%@729,3%@729] GR3D_FREQ 61% cpu@56.562C soc2@56.031C soc0@54.843C gpu@56.218C tj@56.812C soc1@55.75C VDD_IN 7376mW/7335mW VDD_CPU_GPU_CV 2149mW/2096mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:05 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,66%@1510,1%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 61% cpu@56.625C soc2@56.031C soc0@55C gpu@56.312C tj@56.625C soc1@55.781C VDD_IN 7376mW/7336mW VDD_CPU_GPU_CV 2109mW/2096mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:06 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,36%@1510,3%@1510,1%@1510,30%@729,0%@729] GR3D_FREQ 63% cpu@56.468C soc2@56.031C soc0@54.968C gpu@56.812C tj@56.812C soc1@55.75C VDD_IN 7495mW/7339mW VDD_CPU_GPU_CV 2189mW/2098mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:06 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,69%@729,0%@729] GR3D_FREQ 58% cpu@56.468C soc2@55.968C soc0@55.031C gpu@56.375C tj@56.468C soc1@55.75C VDD_IN 7336mW/7339mW VDD_CPU_GPU_CV 2109mW/2098mW VDD_SOC 1754mW/1775mW
04-18-2026 16:19:07 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,70%@729,0%@729] GR3D_FREQ 59% cpu@56.843C soc2@55.968C soc0@54.875C gpu@56.468C tj@56.562C soc1@55.718C VDD_IN 7268mW/7337mW VDD_CPU_GPU_CV 2070mW/2098mW VDD_SOC 1754mW/1774mW
04-18-2026 16:19:07 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@1510,3%@1510,65%@729,0%@729] GR3D_FREQ 59% cpu@56.5C soc2@55.937C soc0@54.906C gpu@56.468C tj@56.5C soc1@55.968C VDD_IN 7456mW/7339mW VDD_CPU_GPU_CV 2189mW/2099mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:08 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,1%@1510,4%@1510,0%@1510,68%@729,0%@729] GR3D_FREQ 57% cpu@56.687C soc2@55.937C soc0@54.812C gpu@56.312C tj@56.687C soc1@55.906C VDD_IN 7376mW/7340mW VDD_CPU_GPU_CV 2109mW/2099mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:08 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,69%@729,1%@729] GR3D_FREQ 60% cpu@56.812C soc2@55.906C soc0@54.968C gpu@56.187C tj@56.812C soc1@55.906C VDD_IN 7308mW/7340mW VDD_CPU_GPU_CV 2070mW/2099mW VDD_SOC 1754mW/1775mW
04-18-2026 16:19:09 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,1%@1510,5%@1510,1%@1510,67%@729,0%@729] GR3D_FREQ 72% cpu@56.562C soc2@56.062C soc0@54.843C gpu@56.437C tj@56.875C soc1@55.843C VDD_IN 7376mW/7340mW VDD_CPU_GPU_CV 2149mW/2100mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:09 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,1%@1510,0%@1510,0%@1510,66%@729,0%@729] GR3D_FREQ 58% cpu@56.562C soc2@56.031C soc0@54.875C gpu@56.406C tj@56.562C soc1@55.843C VDD_IN 7416mW/7341mW VDD_CPU_GPU_CV 2149mW/2100mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:10 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,3%@1510,2%@1510,0%@1510,69%@729,0%@729] GR3D_FREQ 58% cpu@56.468C soc2@56.062C soc0@55.031C gpu@56.312C tj@56.718C soc1@55.812C VDD_IN 7296mW/7341mW VDD_CPU_GPU_CV 2109mW/2101mW VDD_SOC 1754mW/1775mW
04-18-2026 16:19:10 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,1%@1510,0%@1510,6%@1510,69%@806,0%@806] GR3D_FREQ 60% cpu@56.531C soc2@56.062C soc0@55.125C gpu@56.437C tj@56.531C soc1@55.781C VDD_IN 7308mW/7340mW VDD_CPU_GPU_CV 2070mW/2100mW VDD_SOC 1754mW/1775mW
04-18-2026 16:19:11 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,0%@729,1%@729,64%@729,1%@729] GR3D_FREQ 57% cpu@56.656C soc2@56C soc0@55C gpu@56.625C tj@56.656C soc1@55.75C VDD_IN 7456mW/7342mW VDD_CPU_GPU_CV 2189mW/2101mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:11 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [0%@1510,0%@1510,3%@729,0%@729,67%@729,0%@729] GR3D_FREQ 60% cpu@56.437C soc2@56C soc0@54.968C gpu@56.25C tj@56.437C soc1@55.75C VDD_IN 7336mW/7342mW VDD_CPU_GPU_CV 2109mW/2102mW VDD_SOC 1794mW/1775mW
04-18-2026 16:19:12 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [1%@1510,0%@1510,3%@729,1%@729,69%@729,0%@729] GR3D_FREQ 60% cpu@56.531C soc2@55.937C soc0@54.968C gpu@56.531C tj@56.531C soc1@55.718C VDD_IN 7308mW/7341mW VDD_CPU_GPU_CV 2070mW/2101mW VDD_SOC 1754mW/1775mW
04-18-2026 16:19:12 RAM 5447/7620MB (lfb 12x4MB) SWAP 2645/3810MB (cached 8MB) CPU [3%@1510,1%@729,1%@729,1%@729,66%@729,0%@729] GR3D_FREQ 71% cpu@56.812C soc2@56.062C soc0@54.968C gpu@56.281C tj@56.812C soc1@56C VDD_IN 7456mW/7343mW VDD_CPU_GPU_CV 2149mW/2102mW VDD_SOC 1794mW/1775mW
