04-18-2026 14:53:29 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [100%@1510,1%@1510,0%@1510,3%@1510,1%@729,0%@729] GR3D_FREQ 86% cpu@60.5C soc2@60.187C soc0@58.593C gpu@60.968C tj@60.968C soc1@59.343C VDD_IN 10464mW/10368mW VDD_CPU_GPU_CV 4250mW/4210mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:29 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,2%@1510,1%@1510,0%@1510,0%@729,3%@729] GR3D_FREQ 90% cpu@60.437C soc2@60.218C soc0@58.812C gpu@60.937C tj@60.937C soc1@59.406C VDD_IN 10424mW/10369mW VDD_CPU_GPU_CV 4250mW/4211mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:30 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,0%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 78% cpu@60.562C soc2@60.218C soc0@58.75C gpu@60.812C tj@60.937C soc1@59.406C VDD_IN 10424mW/10371mW VDD_CPU_GPU_CV 4290mW/4213mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:30 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 70% cpu@60.5C soc2@60.062C soc0@58.812C gpu@60.906C tj@60.906C soc1@59.312C VDD_IN 10503mW/10374mW VDD_CPU_GPU_CV 4329mW/4216mW VDD_SOC 2128mW/2131mW
04-18-2026 14:53:31 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,1%@1510,1%@729,0%@729] GR3D_FREQ 76% cpu@60.437C soc2@60.062C soc0@58.625C gpu@60.875C tj@60.875C soc1@59.5C VDD_IN 10543mW/10378mW VDD_CPU_GPU_CV 4322mW/4218mW VDD_SOC 2168mW/2132mW
04-18-2026 14:53:31 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [100%@1510,1%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 92% cpu@60.718C soc2@60.125C soc0@58.593C gpu@60.843C tj@60.843C soc1@59.406C VDD_IN 10543mW/10382mW VDD_CPU_GPU_CV 4329mW/4221mW VDD_SOC 2168mW/2133mW
04-18-2026 14:53:32 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,1%@1510,0%@1510,0%@729,1%@729] GR3D_FREQ 91% cpu@60.531C soc2@60.156C soc0@58.625C gpu@60.781C tj@60.781C soc1@59.406C VDD_IN 10464mW/10384mW VDD_CPU_GPU_CV 4290mW/4222mW VDD_SOC 2128mW/2133mW
04-18-2026 14:53:32 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,3%@1510,0%@1510,1%@729,1%@729] GR3D_FREQ 98% cpu@60.562C soc2@60.156C soc0@58.75C gpu@61.25C tj@60.875C soc1@59.343C VDD_IN 10424mW/10385mW VDD_CPU_GPU_CV 4250mW/4223mW VDD_SOC 2128mW/2133mW
04-18-2026 14:53:33 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,1%@1510,0%@1510,1%@729,0%@729] GR3D_FREQ 89% cpu@60.468C soc2@60.156C soc0@58.687C gpu@60.843C tj@60.843C soc1@59.375C VDD_IN 10464mW/10386mW VDD_CPU_GPU_CV 4250mW/4224mW VDD_SOC 2128mW/2133mW
04-18-2026 14:53:33 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [100%@1510,0%@1510,1%@1510,1%@1510,0%@729,0%@729] GR3D_FREQ 77% cpu@60.781C soc2@60.187C soc0@58.718C gpu@61.187C tj@61.187C soc1@59.406C VDD_IN 10424mW/10387mW VDD_CPU_GPU_CV 4250mW/4224mW VDD_SOC 2128mW/2133mW
04-18-2026 14:53:34 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,1%@1510,0%@1510,0%@1510,0%@1510,0%@1510] GR3D_FREQ 74% cpu@60.5C soc2@60.125C soc0@58.75C gpu@60.75C tj@60.75C soc1@59.468C VDD_IN 10424mW/10388mW VDD_CPU_GPU_CV 4250mW/4225mW VDD_SOC 2128mW/2133mW
04-18-2026 14:53:34 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,0%@1510,1%@729,0%@729] GR3D_FREQ 92% cpu@60.656C soc2@60.093C soc0@58.656C gpu@61.156C tj@61.156C soc1@59.468C VDD_IN 10464mW/10390mW VDD_CPU_GPU_CV 4243mW/4225mW VDD_SOC 2128mW/2132mW
04-18-2026 14:53:35 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,0%@1510,1%@729,1%@729] GR3D_FREQ 77% cpu@60.687C soc2@60.25C soc0@58.625C gpu@60.906C tj@60.906C soc1@59.406C VDD_IN 10464mW/10391mW VDD_CPU_GPU_CV 4283mW/4226mW VDD_SOC 2168mW/2133mW
04-18-2026 14:53:35 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [100%@1510,0%@1510,0%@1510,0%@1510,0%@729,3%@729] GR3D_FREQ 63% cpu@60.625C soc2@60.218C soc0@58.875C gpu@61.25C tj@61.25C soc1@59.437C VDD_IN 10503mW/10393mW VDD_CPU_GPU_CV 4322mW/4228mW VDD_SOC 2168mW/2134mW
04-18-2026 14:53:36 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,3%@1510,1%@1510,1%@1510,3%@729,1%@729] GR3D_FREQ 81% cpu@60.625C soc2@60.312C soc0@58.843C gpu@60.875C tj@60.875C soc1@59.375C VDD_IN 10503mW/10395mW VDD_CPU_GPU_CV 4322mW/4230mW VDD_SOC 2168mW/2135mW
04-18-2026 14:53:36 RAM 5396/7620MB (lfb 14x4MB) SWAP 2481/3810MB (cached 16MB) CPU [98%@1510,0%@1510,0%@1510,0%@1510,0%@729,0%@729] GR3D_FREQ 79% cpu@60.5C soc2@60.281C soc0@58.718C gpu@61.156C tj@61.156C soc1@59.281C VDD_IN 10464mW/10397mW VDD_CPU_GPU_CV 4250mW/4230mW VDD_SOC 2128mW/2134mW
