Runs,Strategy,Start_frame,End_frame,Total_frames
2,BSS,487,646,159
2,BSS,1086,648,438
2,BSS,284,648,750
2,BSS,458,646,188
2,BSS,499,646,147
2,BSS,523,646,123
2,BSS,106,646,540
2,BSS,990,646,770
2,BSS,797,648,149
2,BSS,64,646,582
2,BSS,622,646,24
2,BSS,196,646,450
2,BSS,930,648,282
2,BSS,90,646,556
2,BSS,587,648,1053
2,BSS,765,646,995
2,BSS,339,646,307
2,BSS,168,646,478
2,BSS,662,648,14
2,BSS,793,648,145
2,BSS,379,646,267
2,BSS,275,646,371
2,BSS,957,646,803
2,BSS,575,646,71
2,BSS,882,648,234
2,BSS,792,646,968
2,BSS,223,646,423
2,BSS,1007,646,753
2,BSS,148,648,614
2,BSS,1049,646,711
2,BSS,94,648,560
2,BSS,682,648,34
2,BSS,672,646,1088
2,BSS,482,648,948
2,BSS,376,646,270
2,BSS,257,646,389
2,BSS,450,646,196
2,BSS,816,648,168
2,BSS,657,646,1103
2,BSS,798,646,962
2,BSS,68,646,578
2,BSS,705,648,57
2,BSS,1103,646,657
2,BSS,113,646,533
2,BSS,968,646,792
2,BSS,434,646,212
2,BSS,251,646,395
2,BSS,1028,646,732
2,BSS,278,646,368
2,BSS,325,646,321
2,BSS,166,646,480
2,BSS,776,648,128
2,BSS,213,648,679
2,BSS,224,646,422
2,BSS,1079,646,681
2,BSS,88,646,558
2,BSS,367,646,279
2,BSS,920,648,272
2,BSS,326,648,792
2,BSS,865,646,895
2,BSS,986,648,338
2,BSS,394,648,860
2,BSS,212,646,434
2,BSS,95,646,551
2,BSS,271,648,737
2,BSS,258,646,388
2,BSS,592,648,1058
2,BSS,863,648,215
2,BSS,461,648,927
2,BSS,744,646,1016
2,BSS,470,648,936
2,BSS,28,648,494
2,BSS,237,648,703
2,BSS,72,646,574
2,BSS,825,648,177
2,BSS,526,648,992
2,BSS,963,648,315
2,BSS,1102,646,658
2,BSS,74,646,572
2,BSS,20,648,486
2,BSS,797,648,149
2,BSS,20,648,486
2,BSS,1104,646,656
2,BSS,268,646,378
2,BSS,424,646,222
2,BSS,1006,648,358
2,BSS,459,646,187
2,BSS,522,648,988
2,BSS,226,646,420
2,BSS,681,646,1079
2,BSS,50,648,516
2,BSS,388,646,258
2,BSS,14,646,632
2,BSS,1053,646,707
2,BSS,943,648,295
2,BSS,706,646,1054
2,BSS,1082,646,678
2,BSS,923,646,837
2,BSS,908,648,260
2,BSS,452,646,194
2,BSS,617,648,1083
2,BSS,801,646,959
2,BSS,650,646,1110
2,BSS,1083,646,677
2,BSS,764,648,116
2,BSS,593,648,1059
2,BSS,684,646,1076
2,BSS,885,646,875
2,BSS,413,646,233
2,BSS,481,646,165
2,BSS,684,648,36
2,BSS,632,646,14
2,BSS,1092,648,444
2,BSS,410,646,236
2,BSS,605,648,1071
2,BSS,16,646,630
2,BSS,4,648,470
2,BSS,919,646,841
2,BSS,849,646,911
2,BSS,239,648,705
2,BSS,822,646,938
2,BSS,775,648,127
2,BSS,739,646,1021
2,BSS,635,648,1101
2,BSS,471,646,175
2,BSS,319,646,327
2,BSS,791,648,143
2,BSS,582,648,1048
2,BSS,84,648,550
2,BSS,856,648,208
2,BSS,839,648,191
2,BSS,39,648,505
2,BSS,524,648,990
2,BSS,926,646,834
2,BSS,387,648,853
2,BSS,931,646,829
2,BSS,972,646,788
2,BSS,995,648,347
2,BSS,817,646,943
2,BSS,278,646,368
2,BSS,314,646,332
2,BSS,386,646,260
2,BSS,305,648,771
2,BSS,757,648,109
2,BSS,623,646,23
2,BSS,441,646,205
2,BSS,327,648,793
2,BSS,490,646,156
2,BSS,704,646,1056
2,BSS,1017,646,743
2,BSS,4,646,642
2,BSS,57,646,589
2,BSS,326,648,792
2,BSS,1036,648,388
2,BSS,131,648,597
2,BSS,352,648,818
2,BSS,229,648,695
2,BSS,539,648,1005
2,BSS,190,648,656
2,BSS,1004,648,356
2,BSS,969,646,791
2,BSS,955,648,307
2,BSS,50,648,516
2,BSS,1054,646,706
2,BSS,446,646,200
2,BSS,140,646,506
2,BSS,274,646,372
2,BSS,1065,648,417
2,BSS,918,646,842
2,BSS,447,648,913
2,BSS,589,646,57
2,BSS,46,648,512
2,BSS,913,646,847
2,BSS,866,648,218
2,BSS,748,646,1012
2,BSS,959,648,311
2,BSS,1076,648,428
2,BSS,843,648,195
2,BSS,237,646,409
2,BSS,476,646,170
2,BSS,387,648,853
2,BSS,1027,648,379
2,BSS,522,646,124
2,BSS,935,648,287
2,BSS,9,646,637
2,BSS,981,646,779
2,BSS,625,646,21
2,BSS,245,646,401
2,BSS,531,646,115
2,BSS,452,648,918
2,BSS,1045,646,715
2,BSS,765,648,117
2,BSS,46,648,512
2,BSS,154,646,492
2,BSS,593,646,53
2,BSS,525,646,121
2,BSS,259,646,387
2,BSS,439,648,905
2,BSS,72,648,538
2,BSS,288,648,754
2,BSS,69,646,577
2,BSS,16,646,630
2,BSS,128,648,594
2,BSS,737,648,89
2,BSS,337,648,803
2,BSS,114,648,580
