04-18-2026 17:57:33 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 39% cpu@55.468C soc2@54.593C soc0@53.593C gpu@54.875C tj@55.468C soc1@54.75C VDD_IN 6440mW/6365mW VDD_CPU_GPU_CV 1717mW/1671mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:34 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,5%@1510,0%@729,0%@1510,100%@1510] GR3D_FREQ 53% cpu@55.843C soc2@54.625C soc0@53.593C gpu@55.093C tj@55.843C soc1@54.75C VDD_IN 6400mW/6365mW VDD_CPU_GPU_CV 1717mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:35 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 41% cpu@55.437C soc2@54.625C soc0@53.562C gpu@54.812C tj@55.437C soc1@54.687C VDD_IN 6400mW/6366mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:35 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,0%@1510,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.593C soc2@54.625C soc0@53.531C gpu@55.093C tj@55.593C soc1@54.625C VDD_IN 6400mW/6366mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:36 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,1%@923,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.656C soc2@54.593C soc0@53.531C gpu@54.656C tj@55.656C soc1@54.656C VDD_IN 6370mW/6366mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:36 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [3%@1510,0%@1510,0%@729,0%@729,0%@1510,98%@1510] GR3D_FREQ 42% cpu@55.531C soc2@54.625C soc0@53.593C gpu@54.687C tj@55.531C soc1@54.562C VDD_IN 6370mW/6366mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:37 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [0%@1510,1%@1510,1%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 40% cpu@55.562C soc2@54.625C soc0@53.718C gpu@54.843C tj@55.562C soc1@54.562C VDD_IN 6410mW/6367mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:37 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@729,0%@729,0%@729,0%@1510,100%@1510] GR3D_FREQ 48% cpu@55.593C soc2@54.625C soc0@53.687C gpu@54.718C tj@55.593C soc1@54.562C VDD_IN 6410mW/6368mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:38 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [2%@1510,3%@1510,3%@729,3%@729,5%@1510,100%@1510] GR3D_FREQ 44% cpu@55.468C soc2@54.625C soc0@53.687C gpu@54.875C tj@55.468C soc1@54.562C VDD_IN 6400mW/6368mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:38 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,0%@729,1%@729,0%@1510,100%@1510] GR3D_FREQ 49% cpu@55.468C soc2@54.562C soc0@53.656C gpu@54.906C tj@55.468C soc1@54.562C VDD_IN 6370mW/6368mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:39 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,0%@729,0%@729,1%@1510,100%@1510] GR3D_FREQ 44% cpu@55.343C soc2@54.562C soc0@53.656C gpu@55.062C tj@55.343C soc1@54.562C VDD_IN 6360mW/6368mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
04-18-2026 17:57:39 RAM 5478/7620MB (lfb 15x4MB) SWAP 3001/3810MB (cached 23MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@1510,100%@1510] GR3D_FREQ 42% cpu@55.375C soc2@54.593C soc0@53.687C gpu@54.625C tj@55.375C soc1@54.562C VDD_IN 6370mW/6368mW VDD_CPU_GPU_CV 1677mW/1672mW VDD_SOC 1560mW/1559mW
