04-18-2026 12:24:09 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,2%@883,75%@883] GR3D_FREQ 61% cpu@54.843C soc2@54.093C soc0@53.156C gpu@54.218C tj@54.843C soc1@54.218C VDD_IN 6169mW/6124mW VDD_CPU_GPU_CV 1400mW/1377mW VDD_SOC 1600mW/1597mW
04-18-2026 12:24:10 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [16%@1510,0%@1510,0%@1510,0%@1510,4%@960,54%@960] GR3D_FREQ 61% cpu@55C soc2@54.093C soc0@53.156C gpu@54.343C tj@55C soc1@54.25C VDD_IN 6169mW/6126mW VDD_CPU_GPU_CV 1397mW/1378mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:10 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,0%@1510,1%@1510,24%@883,60%@883] GR3D_FREQ 63% cpu@55.031C soc2@54.031C soc0@53.125C gpu@54.187C tj@55.031C soc1@54.093C VDD_IN 6169mW/6127mW VDD_CPU_GPU_CV 1397mW/1378mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:11 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,3%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@54.812C soc2@54.218C soc0@53.125C gpu@54.375C tj@54.812C soc1@54.093C VDD_IN 6169mW/6128mW VDD_CPU_GPU_CV 1400mW/1379mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:11 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,2%@1510,5%@1510,0%@883,74%@883] GR3D_FREQ 64% cpu@54.937C soc2@54.125C soc0@53.218C gpu@54.375C tj@54.937C soc1@54.125C VDD_IN 6169mW/6129mW VDD_CPU_GPU_CV 1400mW/1379mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:12 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,1%@1510,0%@883,73%@883] GR3D_FREQ 65% cpu@54.656C soc2@54.125C soc0@53.187C gpu@54.343C tj@54.656C soc1@54.093C VDD_IN 6169mW/6130mW VDD_CPU_GPU_CV 1400mW/1380mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:12 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@729,0%@729,2%@729,0%@883,74%@883] GR3D_FREQ 63% cpu@54.75C soc2@54.125C soc0@53.187C gpu@54.437C tj@54.75C soc1@54.031C VDD_IN 6169mW/6131mW VDD_CPU_GPU_CV 1400mW/1380mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:13 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,0%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@54.781C soc2@54.062C soc0@53.156C gpu@54.593C tj@54.718C soc1@54.093C VDD_IN 6129mW/6131mW VDD_CPU_GPU_CV 1400mW/1381mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:13 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,5%@1510,0%@1510,0%@883,73%@883] GR3D_FREQ 66% cpu@54.781C soc2@54.125C soc0@53.125C gpu@54.406C tj@54.781C soc1@54.343C VDD_IN 6169mW/6131mW VDD_CPU_GPU_CV 1400mW/1381mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:14 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@54.937C soc2@54.031C soc0@53.125C gpu@54.625C tj@54.937C soc1@54.375C VDD_IN 6129mW/6131mW VDD_CPU_GPU_CV 1360mW/1381mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:14 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,3%@1510,0%@1510,0%@1510,0%@806,74%@883] GR3D_FREQ 63% cpu@55.187C soc2@54.125C soc0@53.187C gpu@54.156C tj@55.187C soc1@54.312C VDD_IN 6169mW/6132mW VDD_CPU_GPU_CV 1400mW/1381mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:15 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@54.781C soc2@54.156C soc0@53.125C gpu@54.562C tj@54.781C soc1@54.093C VDD_IN 6129mW/6132mW VDD_CPU_GPU_CV 1400mW/1382mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:16 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,1%@1510,0%@1510,0%@1510,2%@883,73%@883] GR3D_FREQ 65% cpu@54.968C soc2@54.125C soc0@53.125C gpu@54.187C tj@54.968C soc1@54.156C VDD_IN 6169mW/6133mW VDD_CPU_GPU_CV 1400mW/1382mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:16 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 63% cpu@54.781C soc2@54.125C soc0@53.281C gpu@54.5C tj@54.781C soc1@54.093C VDD_IN 6129mW/6133mW VDD_CPU_GPU_CV 1360mW/1381mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:17 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,2%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@54.812C soc2@54.125C soc0@53.218C gpu@54.156C tj@54.812C soc1@54.062C VDD_IN 6169mW/6133mW VDD_CPU_GPU_CV 1400mW/1382mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:17 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,1%@1510,1%@883,73%@883] GR3D_FREQ 66% cpu@54.593C soc2@54.125C soc0@53.187C gpu@54.281C tj@54.593C soc1@54.093C VDD_IN 6129mW/6133mW VDD_CPU_GPU_CV 1400mW/1382mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:18 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,2%@1510,2%@883,75%@883] GR3D_FREQ 64% cpu@54.718C soc2@54.093C soc0@53.25C gpu@54.343C tj@54.718C soc1@54.093C VDD_IN 6129mW/6133mW VDD_CPU_GPU_CV 1400mW/1382mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:18 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@55.062C soc2@54.125C soc0@53.218C gpu@54.25C tj@55.062C soc1@54.062C VDD_IN 6129mW/6133mW VDD_CPU_GPU_CV 1360mW/1382mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:19 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,0%@1510,0%@806,73%@806] GR3D_FREQ 62% cpu@54.687C soc2@54.125C soc0@53.187C gpu@54.312C tj@54.687C soc1@54.25C VDD_IN 6129mW/6133mW VDD_CPU_GPU_CV 1400mW/1382mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:19 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,1%@1510,1%@1510,1%@1510,2%@883,74%@883] GR3D_FREQ 62% cpu@54.906C soc2@54.156C soc0@53.093C gpu@54.187C tj@54.906C soc1@54.281C VDD_IN 6129mW/6133mW VDD_CPU_GPU_CV 1400mW/1383mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:20 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,0%@1510,1%@1510,1%@1510,0%@883,75%@883] GR3D_FREQ 63% cpu@54.937C soc2@54.031C soc0@53.125C gpu@54.343C tj@54.937C soc1@54.25C VDD_IN 6169mW/6134mW VDD_CPU_GPU_CV 1400mW/1383mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:20 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 61% cpu@54.812C soc2@54.218C soc0@53.125C gpu@54.437C tj@54.812C soc1@54.093C VDD_IN 6129mW/6134mW VDD_CPU_GPU_CV 1400mW/1383mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:21 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,1%@1510,0%@883,73%@883] GR3D_FREQ 64% cpu@54.781C soc2@54.125C soc0@53.281C gpu@54.343C tj@54.781C soc1@54.062C VDD_IN 6169mW/6134mW VDD_CPU_GPU_CV 1400mW/1384mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:21 RAM 3868/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,10%@883,64%@883] GR3D_FREQ 65% cpu@54.718C soc2@54.125C soc0@53.218C gpu@54.406C tj@54.718C soc1@54.093C VDD_IN 6169mW/6135mW VDD_CPU_GPU_CV 1400mW/1384mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:22 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,1%@1510,19%@883,60%@883] GR3D_FREQ 64% cpu@54.812C soc2@54.093C soc0@53.218C gpu@54.593C tj@54.812C soc1@54.062C VDD_IN 6169mW/6135mW VDD_CPU_GPU_CV 1400mW/1384mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:22 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,1%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 63% cpu@54.687C soc2@54.062C soc0@53.125C gpu@54.406C tj@54.687C soc1@54.375C VDD_IN 6129mW/6135mW VDD_CPU_GPU_CV 1400mW/1384mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:23 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,5%@1510,2%@1510,1%@1510,1%@883,73%@883] GR3D_FREQ 63% cpu@54.875C soc2@54.125C soc0@53.187C gpu@54.625C tj@54.875C soc1@54.343C VDD_IN 6129mW/6135mW VDD_CPU_GPU_CV 1400mW/1385mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:23 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@54.843C soc2@53.968C soc0@53.156C gpu@54.406C tj@54.843C soc1@54.25C VDD_IN 6129mW/6135mW VDD_CPU_GPU_CV 1400mW/1385mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:24 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,1%@883,74%@883] GR3D_FREQ 64% cpu@55.031C soc2@54.031C soc0@53.093C gpu@54.562C tj@55.031C soc1@54.281C VDD_IN 6129mW/6135mW VDD_CPU_GPU_CV 1400mW/1385mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:24 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@54.812C soc2@54.156C soc0@53.156C gpu@54.375C tj@54.812C soc1@54.156C VDD_IN 6169mW/6135mW VDD_CPU_GPU_CV 1400mW/1385mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:25 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,0%@1510,0%@1510,0%@806,74%@806] GR3D_FREQ 67% cpu@54.875C soc2@54.187C soc0@53.093C gpu@54.562C tj@54.875C soc1@54.125C VDD_IN 6169mW/6136mW VDD_CPU_GPU_CV 1400mW/1385mW VDD_SOC 1600mW/1598mW
04-18-2026 12:24:25 RAM 3867/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,0%@1510,1%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 63% cpu@54.718C soc2@54.093C soc0@53.312C gpu@54.156C tj@54.718C soc1@54.093C VDD_IN 6169mW/6136mW VDD_CPU_GPU_CV 1400mW/1386mW VDD_SOC 1600mW/1598mW
