04-18-2026 12:23:06 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,1%@1510,2%@883,72%@883] GR3D_FREQ 60% cpu@55.093C soc2@54.437C soc0@53.5C gpu@55.093C tj@55.093C soc1@54.562C VDD_IN 6169mW/6154mW VDD_CPU_GPU_CV 1400mW/1394mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:07 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,0%@1510,0%@1510,0%@1510,0%@883,75%@883] GR3D_FREQ 61% cpu@55.125C soc2@54.531C soc0@53.437C gpu@54.562C tj@55.125C soc1@54.562C VDD_IN 6169mW/6154mW VDD_CPU_GPU_CV 1400mW/1394mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:07 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [5%@1510,0%@1510,0%@1510,11%@1510,0%@883,73%@883] GR3D_FREQ 62% cpu@55.031C soc2@54.468C soc0@53.625C gpu@54.968C tj@55.031C soc1@54.562C VDD_IN 6169mW/6154mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:08 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 64% cpu@55.125C soc2@54.5C soc0@53.593C gpu@54.593C tj@55.125C soc1@54.406C VDD_IN 6169mW/6155mW VDD_CPU_GPU_CV 1397mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:08 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,1%@1510,1%@1510,3%@1510,0%@883,74%@883] GR3D_FREQ 66% cpu@55.156C soc2@54.468C soc0@53.531C gpu@54.656C tj@55.156C soc1@54.5C VDD_IN 6169mW/6155mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:09 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@883,73%@806] GR3D_FREQ 60% cpu@55.031C soc2@54.5C soc0@53.531C gpu@54.718C tj@55.031C soc1@54.406C VDD_IN 6169mW/6155mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:09 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@883,74%@883] GR3D_FREQ 62% cpu@55.031C soc2@54.468C soc0@53.562C gpu@54.656C tj@55.031C soc1@54.687C VDD_IN 6169mW/6155mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:10 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [0%@1510,2%@1510,6%@1510,3%@1510,0%@883,75%@883] GR3D_FREQ 62% cpu@55.375C soc2@54.468C soc0@53.531C gpu@54.718C tj@55.375C soc1@54.656C VDD_IN 6209mW/6157mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:11 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [3%@1510,0%@1510,1%@1510,0%@1510,0%@883,73%@883] GR3D_FREQ 62% cpu@54.968C soc2@54.406C soc0@53.5C gpu@54.843C tj@54.968C soc1@54.75C VDD_IN 6169mW/6157mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
04-18-2026 12:23:11 RAM 3871/7620MB (lfb 57x4MB) SWAP 281/3810MB (cached 0MB) CPU [1%@1510,3%@1510,0%@1510,3%@1510,0%@883,74%@883] GR3D_FREQ 66% cpu@55.25C soc2@54.468C soc0@53.468C gpu@54.531C tj@55.25C soc1@54.562C VDD_IN 6169mW/6157mW VDD_CPU_GPU_CV 1400mW/1395mW VDD_SOC 1600mW/1599mW
